outcome_type,family,subfamily,tumor_type,endpoint,source,foundation_model,feasible,error,grouped_q2,grouped_rmse,grouped_spearman,grouped_sensitivity,grouped_specificity,grouped_ppv,grouped_npv,grouped_balanced_accuracy,grouped_auc,grouped_pr_auc,grouped_prevalence,grouped_no_skill_pr_auc,matched_random_q2,matched_random_balanced_accuracy,matched_random_auc,matched_random_pr_auc,matched_random_ppv,matched_random_npv,grouped_effect,matched_random_effect,grouped_crossing,selected_components_grouped_median,selected_components_matched_median,selected_components_grouped_at_ceiling,grouped_degenerate_inner_fold_events,matched_degenerate_inner_fold_events,grouped_constant_fallback_outer_fits,matched_constant_fallback_outer_fits,grouped_informative_component_selections,matched_informative_component_selections,grouped_estimable_outer_fits,matched_estimable_outer_fits,grouped_minimum_inner_training_positive,grouped_minimum_inner_training_negative,primary_crossing,n,positive,negative,supported_by_n,primary_consensus_class,primary_effect,primary_operating_metric,seed,fastPLS_version,fastPLS_remote_sha,retained_primary_crossing,grouped_minus_matched_effect,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,GigaSSL,TRUE,,,,,0.185185185185185,0.6,0.333333333333333,0.405405405405405,0.392592592592593,0.397037037037037,0.444741036077038,0.519230769230769,0.519230769230769,,0.486666666666667,0.419259259259259,0.46314433533429,0.5,0.470588235294118,0.397037037037037,0.419259259259259,FALSE,3,3.5,0,2,1,2,1,4,4,4,4,0,2,TRUE,52,27,25,2,exactly two,0.668148148148148,0.668148148148148,20960816,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0222222222222223,1,4,5,4,1,46,6,1,3,0,1,1,5,2,TRUE,3,3,1,2,1,2,0,1,0,2,6,TRUE,sparse grouped folds,TRUE,fewer_than_five_outer_folds;outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;single_class_inner_training_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,TRUE,,,,,0.481481481481482,0.44,0.481481481481482,0.44,0.460740740740741,0.42962962962963,0.481068502785486,0.519230769230769,0.519230769230769,,0.54962962962963,0.515555555555556,0.568073377669318,0.636363636363636,0.51219512195122,0.42962962962963,0.515555555555556,FALSE,2.5,4,0,2,1,2,1,4,4,4,4,0,2,TRUE,52,27,25,2,exactly two,0.714074074074074,0.714074074074074,20960816,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0859259259259259,1,4,5,4,1,46,6,1,3,0,1,1,5,2,TRUE,3,3,1,2,1,2,0,1,0,2,6,TRUE,sparse grouped folds,TRUE,fewer_than_five_outer_folds;outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;single_class_inner_training_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,TITAN,TRUE,,,,,0.037037037037037,0.8,0.166666666666667,0.434782608695652,0.418518518518519,0.437037037037037,0.471287954329539,0.519230769230769,0.519230769230769,,0.54,0.494814814814815,0.494335931740991,0.54,1,0.437037037037037,0.494814814814815,FALSE,1.5,16,0,2,1,2,1,4,4,4,4,0,2,FALSE,52,27,25,2,exactly two,0.531851851851852,0.531851851851852,20960816,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0577777777777778,1,4,5,4,1,46,6,1,3,0,1,1,5,2,TRUE,3,3,1,2,1,2,0,1,0,2,6,TRUE,sparse grouped folds,TRUE,fewer_than_five_outer_folds;outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;single_class_inner_training_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,GigaSSL,TRUE,,,,,0.723684210526316,0.574324324324324,0.723684210526316,0.574324324324324,0.64900426742532,0.69576813655761,0.733168230721776,0.606382978723404,0.606382978723404,,0.651849217638691,0.705251303935515,0.750407967153475,0.71900826446281,0.597014925373134,0.69576813655761,0.705251303935515,TRUE,5,7,0,0,0,0,0,5,5,5,5,105,64,TRUE,376,228,148,3,all three,0.715623518255097,0.715623518255097,20960817,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.00948316737790422,2,33,5,5,45,98,278,6,25,29,16,171,107,0,FALSE,5,5,25,189,4,19,15,6,112,72,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,ProvGigaPath,TRUE,,,,,0.81578947368421,0.45945945945946,0.699248120300752,0.618181818181818,0.637624466571835,0.685870080606923,0.74601753114925,0.606382978723404,0.606382978723404,,0.66488857278331,0.702258179231863,0.753557267283797,0.740909090909091,0.583333333333333,0.685870080606923,0.702258179231863,TRUE,4,3,0,0,0,0,0,5,5,5,5,105,64,TRUE,376,228,148,3,all three,0.746028923660503,0.746028923660503,20960817,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.0163880986249407,2,33,5,5,45,98,278,6,25,29,16,171,107,0,FALSE,5,5,25,189,4,19,15,6,112,72,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,TITAN,TRUE,,,,,0.842105263157895,0.493243243243243,0.719101123595506,0.669724770642202,0.667674253200569,0.719861308677098,0.763445705384504,0.606382978723404,0.606382978723404,,0.679350403034614,0.723743480322428,0.764279537076098,0.734126984126984,0.653225806451613,0.719861308677098,0.723743480322428,TRUE,5,5,0,0,0,0,0,5,5,5,5,105,64,TRUE,376,228,148,3,all three,0.726084637268848,0.726084637268848,20960817,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.00388217164532956,2,33,5,5,45,98,278,6,25,29,16,171,107,0,FALSE,5,5,25,189,4,19,15,6,112,72,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,GigaSSL,TRUE,,,,,0.678571428571429,0.436781609195402,0.367741935483871,0.737864077669903,0.557676518883415,0.602695675971538,0.397395112221597,0.325581395348837,0.325581395348837,,0.586822660098522,0.642515051997811,0.438167902791532,0.390728476821192,0.766355140186916,0.602695675971538,0.642515051997811,TRUE,6,3,0,0,0,0,0,5,5,5,5,22,57,TRUE,258,84,174,3,all three,0.676929392446634,0.676929392446634,20960818,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.0398193760262726,3,28,5,5,30,79,179,5,21,9,17,57,122,0,FALSE,5,5,7,86,3,16,1,4,22,64,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,TRUE,,,,,0.30952380952381,0.770114942528736,0.393939393939394,0.697916666666667,0.539819376026273,0.550150519978106,0.373314684372003,0.325581395348837,0.325581395348837,,0.603653530377668,0.610495347564313,0.416892830370991,0.447916666666667,0.746913580246914,0.550150519978106,0.610495347564313,FALSE,5,4,0,0,0,0,0,5,5,5,5,22,57,TRUE,258,84,174,3,all three,0.600574712643678,0.600574712643678,20960818,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.060344827586207,3,28,5,5,30,79,179,5,21,9,17,57,122,0,FALSE,5,5,7,86,3,16,1,4,22,64,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,TITAN,TRUE,,,,,0.583333333333333,0.603448275862069,0.415254237288136,0.75,0.593390804597701,0.641078270388615,0.422425072830287,0.325581395348837,0.325581395348837,,0.574712643678161,0.600643130815545,0.39146868697502,0.407766990291262,0.729032258064516,0.641078270388615,0.600643130815545,TRUE,4,5,0,0,0,0,0,5,5,5,5,22,57,TRUE,258,84,174,3,all three,0.619594964422551,0.619594964422551,20960818,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,0.0404351395730705,3,28,5,5,30,79,179,5,21,9,17,57,122,0,FALSE,5,5,7,86,3,16,1,4,22,64,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,GigaSSL,TRUE,,,,,0.636363636363636,0.574380165289256,0.504807692307692,0.698492462311558,0.605371900826446,0.679864763335838,0.610421125730036,0.405405405405405,0.405405405405405,,0.68801652892562,0.763886801903331,0.698523500370081,0.585365853658537,0.777227722772277,0.679864763335838,0.763886801903331,TRUE,3,4,0,0,0,0,0,5,5,5,5,48,80,TRUE,407,165,242,3,all three,0.763461056849487,0.763461056849487,20960819,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.0840220385674931,4,24,5,5,35,217,190,4,19,12,18,80,110,0,FALSE,5,5,4,126,3,14,2,2,57,66,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
