outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,4,0.8,ProvGigaPath,4,0.8,FALSE
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,GigaSSL,5,2,0.4,TITAN,3,0.6,FALSE
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,3,0.6,ProvGigaPath,3,0.6,FALSE
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,GigaSSL,5,0,0,TITAN,5,1,FALSE
binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,TITAN,5,1,0.2,GigaSSL,3,0.6,FALSE
binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,TITAN,5,1,0.2,ProvGigaPath,3,0.6,FALSE
binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,TITAN,5,5,1,TITAN,5,1,FALSE
binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,TITAN,5,5,1,TITAN,5,1,FALSE
binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,GigaSSL,5,0,0,TITAN,4,0.8,FALSE
binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,ProvGigaPath,5,1,0.2,TITAN,4,0.8,FALSE
binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,TITAN,5,5,1,TITAN,5,1,FALSE
