family,tumor_type,endpoint,outcome_type,n,q_value,q_value_global,tier,primary_screen_q2,primary_screen_rmse,primary_screen_spearman,q2,rmse,spearman,q2_ci_low,q2_ci_high,rmse_ci_low,rmse_ci_high,spearman_ci_low,spearman_ci_high,positive,negative,primary_screen_balanced_accuracy,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,auc_ci_low,auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,ppv_tcga_prevalence_ci_low,ppv_tcga_prevalence_ci_high,npv_tcga_prevalence_ci_low,npv_tcga_prevalence_ci_high,repeat_metric,repeat_metric_mean,repeat_metric_median,repeat_metric_q1,repeat_metric_q3,repeat_metric_min,repeat_metric_max,repeat_metric_sd,repeat_crossing_threshold,repeat_crossing_count,repeat_crossing_proportion,repeat_partitions,model_id,ncomp,model_file,model_sha256,training_cohort,aggregation,feature_dimension,external_validation,titan_feature_file_sha256,feature_schema_sha256,prediction_rule,contains_patient_level_training_rows,endpoint_transform,output_units,model_fastPLS_version,model_fastPLS_remote_sha,model_backend,model_svd_method,model_rsvd_oversample,model_rsvd_power,model_fit_seed,model_analysis_fingerprint,class_labels,class_priors,calibration_status,intended_use,redistribution_status,model_evidence_tier,default_inference,limited_evidence_reason,binary_pr_auc,binary_ppv_tcga_prevalence,binary_npv_tcga_prevalence,binary_observed_tcga_prevalence,binary_minimum_outer_test_positive,binary_minimum_outer_test_negative,binary_minimum_inner_training_positive,binary_minimum_inner_training_negative,binary_selected_components_median,binary_selected_components_q1,binary_selected_components_q3,binary_selected_components_minimum,binary_selected_components_maximum,binary_repeat_score_spearman,binary_repeat_class_agreement,binary_all_repeat_class_agreement,primary_estimate_label,repeated_estimate_label,repeated_minus_primary_primary_metric,uncertainty_interval_label,uncertainty_method,uncertainty_included,uncertainty_excluded,uncertainty_resamples,uncertainty_repeat_partitions,uncertainty_selection_conditioned,site_grouped_metric_name,site_grouped_metric,site_performance_delta,site_grouped_n_sites,site_grouped_feasible,site_retained_effect,site_near_chance_or_worse,site_robustness_status,site_robustness_warning,site_grouped_validation_scope,site_grouped_outer_folds,site_grouped_minimum_test_patients,site_grouped_maximum_test_patients,site_grouped_minimum_test_sites,site_grouped_maximum_test_sites,site_grouped_minimum_test_positive,site_grouped_maximum_test_positive,site_grouped_inner_site_separation
driver_mutation,COAD,APC,binary,382,0.00433333333333333,0.0068,A,,,,,,,,,,,,,196,186,0.776936581084047,0.88265306122449,0.704301075268817,0.793477068246654,0.851393460610051,0.822311735386529,0.759044116340054,0.850741621770221,0.839785910528225,0.921056618819777,0.6426832675372,0.760898430533262,0.754510831904345,0.830181712470662,0.809212675603228,0.887561344590974,0.765425445703967,0.876638942433026,0.703895693519577,0.812472755380309,0.795538981310202,0.898355335980278,balanced accuracy,0.793477068246654,0.793477068246654,0.793339916611806,0.799264867237218,0.777210884353742,0.804092604783849,0.0101340488223694,0.6,5,1,5,driver_mutation__COAD__APC,2,models/driver_mutation__COAD__APC.rds,1ed52b8b2182c150403e2a9946ff22f8c702f5ca0754dc620f167b62dbaa93b0,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260835,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.486911; 1=0.513089,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.822311735386529,0.759044116340054,0.850741621770221,0.513089005235602,39,37,124,118,2,2,2,1,5,0.943175747174701,0.942408376963351,0.884816753926702,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,0.0165404871626066,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.518872064955014,-0.258064516129033,24,TRUE,FALSE,TRUE,site-sensitive: near chance or worse,Prominent site-sensitivity warning: performance was near chance or worse under TCGA tissue-source-site grouping.,TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,52,135,4,6,18,59,TRUE
driver_mutation,LGG,CIC,binary,485,0.00185714285714286,0.0068,A,,,,,,,,,,,,,105,380,0.785964912280702,0.630476190476191,0.889473684210526,0.759974937343358,0.874140350877193,0.614298404941656,0.612267330486525,0.897022122992943,0.549494417862839,0.714017921146953,0.861021164021164,0.914744765138653,0.716965213664928,0.803755240348893,0.839910489160221,0.905529645681591,0.532945126647687,0.707091298030287,0.527300061969894,0.696174088191242,0.868421288684598,0.927741104027542,balanced accuracy,0.759974937343358,0.755576441102757,0.754260651629073,0.767731829573935,0.751127819548872,0.771177944862155,0.0088874641801751,0.6,5,1,5,driver_mutation__LGG__CIC,6,models/driver_mutation__LGG__CIC.rds,3c2cfdb1143cb4ca080874772cb03b0fed72b55d9f8066f39c0a1e125b7c71bf,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260833,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.783505; 1=0.216495,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.614298404941656,0.612267330486525,0.897022122992943,0.216494845360825,21,76,67,243,4,3,6,2,12,0.841572782916113,0.927422680412371,0.845360824742268,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.0259899749373436,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.748997493734336,-0.0369674185463662,25,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,56,145,5,5,12,38,TRUE
driver_mutation,LGG,IDH1,binary,485,0.00185714285714286,0.0068,A,,,,,,,,,,,,,375,110,0.781636363636364,0.930666666666667,0.623636363636364,0.777151515151515,0.849978181818182,0.935040218416764,0.893978589092802,0.725658395799094,0.90748271131394,0.951350267379679,0.536532079646018,0.709135913591359,0.732764781471444,0.818895933072727,0.804522662412002,0.889374593021283,0.909079159663238,0.957633781135651,0.863507252492904,0.923142120423287,0.640479438813613,0.805574045561777,balanced accuracy,0.777151515151515,0.773090909090909,0.772545454545455,0.776848484848485,0.766666666666667,0.796606060606061,0.0114696069008913,0.6,5,1,5,driver_mutation__LGG__IDH1,7,models/driver_mutation__LGG__IDH1.rds,7ccc75b21bad14e9dcbf0212d5e5bc5bfadda402265895632975aa7e68a6e25b,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260834,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.226804; 1=0.773196,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.935040218416764,0.893978589092802,0.725658395799094,0.77319587628866,75,22,240,70,3,2,3,2,6,0.850485580579301,0.954639175257732,0.905154639175258,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.00448484848484887,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.79339393939394,0.0117575757575754,25,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,29,168,4,6,26,129,TRUE
driver_mutation,LGG,TP53,binary,485,0.00185714285714286,0.0068,A,,,,,,,,,,,,,232,253,0.854683453727682,0.831896551724138,0.875098814229249,0.853497682976694,0.905758484394167,0.883439241795015,0.85947311022311,0.850377350736409,0.790915601023018,0.867617620617321,0.839180177250183,0.908005477616071,0.826442357376912,0.878798797951275,0.876361610045774,0.92939145519026,0.837986193209768,0.926578630204513,0.816136395737332,0.899713007832822,0.811387270548361,0.882912249339196,balanced accuracy,0.853497682976694,0.856838626141475,0.851446435872973,0.858457135068829,0.837799850074963,0.862946367725228,0.00969104331654814,0.6,5,1,5,driver_mutation__LGG__TP53,5,models/driver_mutation__LGG__TP53.rds,be7af927bce97572d633895a412c713b1361702281d7fefc3c9ada5b4080021c,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260830,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.521649; 1=0.478351,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.883439241795015,0.85947311022311,0.850377350736409,0.478350515463918,46,50,148,161,4,3,6,3,10,0.929203426538634,0.921237113402062,0.839175257731959,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.00118577075098847,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.828821384762165,-0.0258620689655176,25,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,34,145,4,6,17,72,TRUE
driver_mutation,READ,APC,binary,135,0.0015,0.0068,A,,,,,,,,,,,,,65,70,0.862087912087912,0.926153846153846,0.771428571428571,0.848791208791209,0.896395604395604,0.852587637990461,0.790390939469887,0.919150138776089,0.882748478701826,0.964520872865275,0.677891834193204,0.867570686070686,0.796329819542254,0.901867317822651,0.842144216492043,0.943700396825397,0.771168691586458,0.933871672423893,0.70105832387397,0.880024468539214,0.862341171017702,0.963402515374978,balanced accuracy,0.848791208791209,0.847252747252747,0.84010989010989,0.860989010989011,0.832417582417582,0.863186813186813,0.0132462032574104,0.6,5,1,5,driver_mutation__READ__APC,5,models/driver_mutation__READ__APC.rds,7ee067cd69035d2bd741dc4e71ec8bd3217bf0316736efbd7dd46d9dd9c1e586,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260829,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.518519; 1=0.481481,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.852587637990461,0.790390939469887,0.919150138776089,0.481481481481482,13,14,41,44,1,1,3,1,5,0.86562091503268,0.939259259259259,0.881481481481482,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.0132967032967032,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.474725274725275,-0.387362637362637,13,TRUE,FALSE,TRUE,site-sensitive: near chance or worse,Prominent site-sensitivity warning: performance was near chance or worse under TCGA tissue-source-site grouping.,TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,3,62,2,3,2,19,TRUE
driver_mutation,READ,TP53,binary,135,0.0015,0.0068,A,,,,,,,,,,,,,66,69,0.838603425559947,0.921212121212121,0.794202898550725,0.857707509881423,0.927228809837505,0.899904734116166,0.810744084317101,0.914240785275603,0.86,0.968972148541114,0.70156589312327,0.875677723177723,0.804143835616438,0.907364671560324,0.8791412593785,0.963416225665629,0.823485486309853,0.962248719062904,0.722901482495427,0.888262728519905,0.8489634495181,0.96756905596153,balanced accuracy,0.857707509881423,0.853425559947299,0.853096179183136,0.861001317523057,0.845191040843215,0.875823451910408,0.0115682538398127,0.6,5,1,5,driver_mutation__READ__TP53,1,models/driver_mutation__READ__TP53.rds,b4c411ffec6e2026b6e7f1bdabda6a9ae3d00e33c1cc5daf70815b879c01f34f,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260832,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.511111; 1=0.488889,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.899904734116166,0.810744084317101,0.914240785275603,0.488888888888889,13,13,41,44,1,1,2,1,4,0.921942737293923,0.94962962962963,0.896296296296296,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,0.0191040843214759,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.815876152832675,-0.0227272727272725,13,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,2,71,2,4,2,19,TRUE
driver_mutation,THCA,BRAF,binary,490,0.001,0.0068,A,,,,,,,,,,,,,289,201,0.844264834994577,0.924567474048443,0.745273631840796,0.83492055294462,0.893497908381966,0.898417867086742,0.83923658173392,0.873116789658415,0.895795850490972,0.951450418893543,0.692813713099215,0.800027472527473,0.803202855701844,0.866713771262543,0.862966774556528,0.923460933755234,0.864456950012225,0.933320638650036,0.799440042317992,0.876937918233093,0.826520933949863,0.916214979411251,balanced accuracy,0.83492055294462,0.832799669472706,0.831827024049304,0.840047168999294,0.825664067207216,0.844264834994577,0.00730322523162794,0.6,5,1,5,driver_mutation__THCA__BRAF,3,models/driver_mutation__THCA__BRAF.rds,ab225c4dd8e51df6a9595ee45fd3764d2e398f4fc769309e43edc0acea202564,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260831,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.410204; 1=0.589796,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.898417867086742,0.83923658173392,0.873116789658415,0.589795918367347,57,40,184,128,4,4,4,3,13,0.923004505539424,0.951020408163265,0.889795918367347,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.00934428204995763,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.839074523575892,-0.00519031141868498,22,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,39,133,3,5,28,85,TRUE
driver_mutation,THYM,GTF2I,binary,120,0.001,0.0068,A,,,,,,,,,,,,,59,61,0.90025006946374,0.891525423728814,0.836065573770492,0.863795498749653,0.901694915254237,0.867207641641278,0.840586159719885,0.889175827743917,0.817387556221889,0.951851851851852,0.745077145612343,0.909440048691418,0.812096900673603,0.912132314787387,0.846549647269951,0.948394087478003,0.787372204125956,0.939631080485237,0.755397389915205,0.913410799565254,0.809874304714749,0.95362674134524,balanced accuracy,0.863795498749653,0.875104195609892,0.850236176715755,0.875382050569603,0.825646012781328,0.892609058071687,0.0261323291261223,0.6,5,1,5,driver_mutation__THYM__GTF2I,7,models/driver_mutation__THYM__GTF2I.rds,73ddd0bc1edc740245f8aa96585449322f014a3fbfb5427080309d5b4943a791,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260828,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.508333; 1=0.491667,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.867207641641278,0.840586159719885,0.889175827743917,0.491666666666667,11,12,37,38,3,2,6,1,9,0.841037572053615,0.923333333333333,0.841666666666667,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.0364545707140873,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.816337871631009,-0.0839121978327314,19,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,4,48,3,5,1,24,TRUE
fusion,UCEC,Any called fusion,binary,153,0.001,0.0045,A,,,,,,,,,,,,,80,73,0.783561643835617,0.7575,0.780821917808219,0.76916095890411,0.810787671232877,0.789907476377898,0.79153189010862,0.746135828135828,0.667510822510823,0.838974667308001,0.694714100064977,0.855566666666667,0.71267296965321,0.825467853137948,0.751843613613059,0.868462043072036,0.70283471283656,0.867957566742365,0.704419308542577,0.862471559176776,0.6599288580188,0.833383430944066,balanced accuracy,0.76916095890411,0.764811643835616,0.75916095890411,0.77791095890411,0.757962328767123,0.785958904109589,0.0122786330839017,0.6,5,1,5,fusion__UCEC__Any_called_fusion,2,models/fusion__UCEC__Any_called_fusion.rds,6550ee82caad1c1f8cceed24575048784b51003431882ecb9ac51801585e0a4b,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260870,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.477124; 1=0.522876,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.789907476377898,0.79153189010862,0.746135828135828,0.522875816993464,16,14,51,46,2,2,4,2,15,0.750567595459236,0.875816993464052,0.725490196078431,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.0144006849315074,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.749315068493151,-0.0342465753424663,28,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,11,44,5,6,5,21,TRUE
microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),binary,374,0.001,0.001,A,,,,,,,,,,,,,57,317,0.783358237865958,0.592982456140351,0.956466876971609,0.77472466655598,0.901798660689579,0.714168928496412,0.710240362811791,0.928945793896149,0.470827205882353,0.695456241519674,0.935273707028149,0.972994668337734,0.716085540880172,0.827589011040527,0.85655669170446,0.939726744132083,0.597620668088131,0.811659679788245,0.597282974163415,0.81128799307661,0.902163673100597,0.952935209836659,balanced accuracy,0.77472466655598,0.773009020975151,0.760197022524766,0.784935524932204,0.760197022524766,0.795284741823012,0.0154274645172148,0.6,5,1,5,microsatellite_instability_sensitivity__COAD__MSI-H_strict_MANTIS_0.6_,7,models/microsatellite_instability_sensitivity__COAD__MSI-H_strict_MANTIS_0.6_.rds,8a9ada13d5d12683b5a64e7f0c6f5d962c1f854d3f0da726ca9f3d2632781be4,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260879,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.847594; 1=0.152406,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,,0.714168928496412,0.710240362811792,0.928945793896149,0.152406417112299,11,63,36,202,8,7,9,5,16,0.759190400137632,0.944919786096257,0.887700534759358,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,-0.00863357130997822,95% selection-conditioned patient-resampling interval for repeated out-of-fold predictions,patient-cluster bootstrap percentile interval for the mean of five repeat-specific nested-CV metrics; 1000 resamples of the fixed held-out prediction sets without refitting,patient sampling variability conditional on five independently seeded nested-CV out-of-fold prediction sets; the metric is recalculated within each repeat and then averaged,"initial atlas screening and endpoint selection; generation of new partitions; scaling, component selection or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",1000,5,TRUE,balanced accuracy,0.730034866345675,-0.0533233715202832,24,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,43,124,4,6,7,17,TRUE
