source,tumor_type,cohort_patients,covered_patients,missing_patients,covered_primary_aliquots,patients_with_multiple_primary_aliquots,maximum_primary_aliquots,aggregation_rule
Gao2018_TableS1,,9,6,3,6,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,ACC,56,55,1,55,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,BLCA,386,381,5,381,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,BRCA,1054,1051,3,1051,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,CESC,269,266,3,266,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,CHOL,39,36,3,36,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,COAD,433,258,175,258,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,DLBC,44,44,0,44,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,ESCA,156,154,2,154,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,GBM,384,91,293,91,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,HNSC,450,435,15,435,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,KICH,108,65,43,65,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,KIRC,513,507,6,507,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,KIRP,273,265,8,265,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
Gao2018_TableS1,LGG,490,487,3,487,0,1,study sample list defines assay coverage; no call within covered samples is zero; calls collapsed by unique fusion
