outcome_type,family,tumor_type,endpoint,performance_checkpoint_passed,p_permutation,permutation_attempted,permutation_exceedances,permutation_stopped_early,p_assignment_status,local_bh_denominator,across_cancer_family_bh_denominator,outcome_wide_bh_denominator,atlas_wide_bh_denominator,included_in_local_bh,included_in_across_cancer_family_bh,included_in_outcome_wide_bh,included_in_atlas_wide_bh,q_recomputed_local,q_recomputed_across_cancer_family,q_recomputed_outcome_wide,q_recomputed_atlas_wide,q_saved_local,q_saved_across_cancer_family,q_saved_outcome_wide,q_saved_atlas_wide
binary,aneuploidy,ACC,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,BLCA,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,BRCA,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,CESC,Genome doubling,TRUE,0.005,999,4,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.005,0.01,0.0246774193548387,0.0209515570934256,0.005,0.01,0.0246774193548387,0.0209515570934256
binary,aneuploidy,COAD,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,ESCA,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,GBM,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,HNSC,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,KIRC,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,LGG,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,LIHC,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,LUAD,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,LUSC,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,OV,Genome doubling,TRUE,0.004,999,3,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.004,0.0088,0.0199565217391304,0.0167806004618938,0.004,0.0088,0.0199565217391304,0.0167806004618938
binary,aneuploidy,PAAD,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,PCPG,Genome doubling,TRUE,0.014,999,13,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.014,0.0256666666666667,0.0669375,0.0584620689655172,0.014,0.0256666666666667,0.0669375,0.0584620689655172
binary,aneuploidy,PRAD,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,READ,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,SARC,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,SKCM,Genome doubling,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,aneuploidy,STAD,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,aneuploidy,UCEC,Genome doubling,TRUE,0.001,999,0,FALSE,completed_permutation,1,22,459,3633,TRUE,TRUE,TRUE,TRUE,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711,0.001,0.00244444444444444,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BLCA,ARID1A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ASXL2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ATM,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,CDKN1A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,CDKN2A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,CREBBP,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ELF3,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,EP300,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ERBB2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ERBB3,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ERCC2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,FAT1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,FBXW7,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,FGFR3,TRUE,0.001,999,0,FALSE,completed_permutation,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.015,0.0068,0.00527586206896552,0.00428925619834711,0.015,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BLCA,KANSL1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,KDM6A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,KLF5,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,KMT2C,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,KMT2D,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,NFE2L2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,PIK3CA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,RB1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,RHOB,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,RXRA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,SF3B1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,SPTAN1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,STAG2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,TP53,TRUE,0.001,999,0,FALSE,completed_permutation,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.015,0.0068,0.00527586206896552,0.00428925619834711,0.015,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BLCA,TSC1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BLCA,ZFP36L1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,30,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,AKT1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,ARID1A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,BRCA1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,CDH1,TRUE,0.001,999,0,FALSE,completed_permutation,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.005,0.0068,0.00527586206896552,0.00428925619834711,0.005,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BRCA,CHD4,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,ERBB2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,FOXA1,TRUE,0.001,999,0,FALSE,completed_permutation,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.005,0.0068,0.00527586206896552,0.00428925619834711,0.005,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BRCA,GATA3,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,KMT2C,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,MAP2K4,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,MAP3K1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,NCOR1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,NF1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,PIK3CA,TRUE,0.001,999,0,FALSE,completed_permutation,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.005,0.0068,0.00527586206896552,0.00428925619834711,0.005,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,BRCA,PIK3R1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,PTEN,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,RB1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,RUNX1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,TBX3,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,BRCA,TP53,TRUE,0.001,999,0,FALSE,completed_permutation,20,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.005,0.0068,0.00527586206896552,0.00428925619834711,0.005,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,CESC,EP300,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,CESC,FBXW7,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,CESC,KMT2C,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,CESC,KMT2D,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,CESC,PIK3CA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,CESC,TP53,TRUE,0.003,999,2,FALSE,completed_permutation,6,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.018,0.0187894736842105,0.0153,0.0126145833333333,0.018,0.0187894736842105,0.0153,0.0126145833333333
binary,driver_mutation,COAD,ACVR2A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,AMER1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,APC,TRUE,0.001,999,0,FALSE,completed_permutation,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,COAD,ARID1A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,BRAF,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,CTNNB1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,FBXW7,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,KRAS,TRUE,0.001,999,0,FALSE,completed_permutation,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,COAD,PIK3CA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,SMAD4,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,SOX9,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,TCF7L2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,COAD,TP53,TRUE,0.001,999,0,FALSE,completed_permutation,13,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711,0.00433333333333333,0.0068,0.00527586206896552,0.00428925619834711
