outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,aneuploidy,UCEC,Aneuploidy score,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,UCEC,Deleted arm count,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,COAD,Aneuploidy score,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,BRCA,Aneuploidy score,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,BRCA,Deleted arm count,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,COAD,Deleted arm count,0.001,0.0015,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,UVM,Deleted arm count,0.001,0.003,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,THYM,Aneuploidy score,0.001,0.003,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,STAD,Aneuploidy score,0.001,0.003,0.01,0.00417631578947368,0.00428925619834711,B
continuous,aneuploidy,LUAD,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,KIRP,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,THYM,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,LGG,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,STAD,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,LGG,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,KIRP,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,PRAD,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,LUAD,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,PRAD,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,SARC,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,KIRC,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,SARC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,LGG,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,LIHC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,THCA,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,HNSC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,READ,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,TGCT,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,KIRC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,PAAD,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,BLCA,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,UCEC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,PAAD,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,THYM,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,BLCA,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,ACC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,KIRC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,OV,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,LIHC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,KICH,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,PRAD,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,BRCA,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,READ,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,LUAD,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,HNSC,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,COAD,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,BLCA,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,ACC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,THCA,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,ACC,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,OV,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,LUSC,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,LIHC,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,KIRP,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,MESO,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,LUSC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,PCPG,Deleted arm count,1,1,1,1,1,C
continuous,aneuploidy,HNSC,Amplified arm count,1,1,1,1,1,C
continuous,aneuploidy,ESCA,Aneuploidy score,1,1,1,1,1,C
continuous,aneuploidy,CESC,Amplified arm count,1,1,1,1,1,C
