tumor_type,titan_embedding_patients,mc3_primary_samples,mc3_primary_patients,matched_profiled_patients,embedding_patients_without_mc3_profile,profiled_patients_with_multiple_primary_aliquots,maximum_primary_aliquots,wild_type_rule
ACC,56,92,92,56,0,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
BLCA,386,410,410,384,2,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
BRCA,1054,1020,1020,981,73,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
CESC,269,289,289,252,17,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
CHOL,39,36,36,36,3,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
COAD,433,404,404,382,51,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
DLBC,44,37,37,33,11,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
ESCA,156,184,184,155,1,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
GBM,384,390,390,241,143,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
HNSC,450,507,507,431,19,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
KICH,108,66,66,65,43,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
KIRC,513,369,369,353,160,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
KIRP,273,281,281,265,8,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
LGG,490,511,511,485,5,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
LIHC,364,363,363,350,14,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
LUAD,468,515,515,463,5,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
LUSC,477,485,485,461,16,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
MESO,75,82,82,70,5,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
OV,106,409,409,72,34,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
PAAD,183,177,177,175,8,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
PCPG,176,179,179,176,0,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
PRAD,402,497,497,399,3,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
READ,156,149,149,135,21,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
SARC,254,236,236,229,25,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
SKCM,292,104,104,98,194,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
STAD,374,439,439,371,3,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
TGCT,149,129,129,128,21,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
THCA,505,492,492,490,15,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
THYM,121,123,123,120,1,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
UCEC,505,530,530,487,18,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
UCS,53,57,57,53,0,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
UVM,80,80,80,80,0,0,1,matched MC3-profiled primary-tumour patient with no qualifying PASS protein-altering variant in the gene
