sample_type,N,tumor_type
01,7747,ACC
01,98308,BLCA
06,253,BLCA
01,85518,BRCA
06,346,BRCA
01,56822,CESC
06,237,CESC
01,1934,CHOL
01,169664,COAD
02,120,COAD
06,94,COAD
01,4803,DLBC
01,25627,ESCA
06,84,ESCA
01,45769,GBM
02,644,GBM
01,74788,HNSC
06,224,HNSC
01,2130,KICH
01,20591,KIRC
05,23,KIRC
01,20642,KIRP
05,73,KIRP
01,27001,LGG
02,2098,LGG
01,36198,LIHC
02,247,LIHC
01,141898,LUAD
02,931,LUAD
01,131658,LUSC
01,2484,MESO
01,35831,OV
02,154,OV
01,20547,PAAD
06,53,PAAD
01,1787,PCPG
05,25,PCPG
06,26,PCPG
01,21385,PRAD
06,35,PRAD
01,45127,READ
02,54,READ
01,17340,SARC
02,96,SARC
06,43,SARC
06,283023,SKCM
01,47273,SKCM
01,148704,STAD
01,1999,TGCT
05,81,TGCT
01,7632,THCA
06,82,THCA
01,2718,THYM
01,540580,UCEC
02,137,UCEC
01,7250,UCS
01,1337,UVM
