gene,positive,negative,n_profiled,tumor_type,eligibility
ATRX,3,53,56,ACC,insufficient_positive
CTNNB1,8,48,56,ACC,insufficient_positive
MEN1,3,53,56,ACC,insufficient_positive
PRKAR1A,4,52,56,ACC,insufficient_positive
TP53,11,45,56,ACC,insufficient_positive
ARID1A,98,286,384,BLCA,eligible
ASXL2,35,349,384,BLCA,eligible
ATM,53,331,384,BLCA,eligible
CDKN1A,37,347,384,BLCA,eligible
CDKN2A,24,360,384,BLCA,eligible
CREBBP,48,336,384,BLCA,eligible
CTNNB1,13,371,384,BLCA,insufficient_positive
CUL1,17,367,384,BLCA,insufficient_positive
DIAPH2,19,365,384,BLCA,insufficient_positive
ELF3,46,338,384,BLCA,eligible
EP300,54,330,384,BLCA,eligible
ERBB2,46,338,384,BLCA,eligible
ERBB3,40,344,384,BLCA,eligible
ERCC2,35,349,384,BLCA,eligible
FAT1,46,338,384,BLCA,eligible
FBXW7,30,354,384,BLCA,eligible
FGFR3,54,330,384,BLCA,eligible
FOXA1,13,371,384,BLCA,insufficient_positive
FOXQ1,14,370,384,BLCA,insufficient_positive
GNA13,10,374,384,BLCA,insufficient_positive
HRAS,18,366,384,BLCA,insufficient_positive
KANSL1,24,360,384,BLCA,eligible
KDM6A,96,288,384,BLCA,eligible
KLF5,21,363,384,BLCA,eligible
KMT2C,71,313,384,BLCA,eligible
KMT2D,110,274,384,BLCA,eligible
KRAS,16,368,384,BLCA,insufficient_positive
NFE2L2,24,360,384,BLCA,eligible
NRAS,8,376,384,BLCA,insufficient_positive
PIK3CA,82,302,384,BLCA,eligible
PSIP1,18,366,384,BLCA,insufficient_positive
PTEN,15,369,384,BLCA,insufficient_positive
RB1,73,311,384,BLCA,eligible
RBM10,13,371,384,BLCA,insufficient_positive
RHOA,17,367,384,BLCA,insufficient_positive
RHOB,24,360,384,BLCA,eligible
RXRA,21,363,384,BLCA,eligible
SF1,10,374,384,BLCA,insufficient_positive
SF3B1,22,362,384,BLCA,eligible
SPTAN1,45,339,384,BLCA,eligible
STAG2,53,331,384,BLCA,eligible
TP53,185,199,384,BLCA,eligible
TSC1,34,350,384,BLCA,eligible
TXNIP,14,370,384,BLCA,insufficient_positive
ZFP36L1,25,359,384,BLCA,eligible
AKT1,21,960,981,BRCA,eligible
ARID1A,26,955,981,BRCA,eligible
BRCA1,21,960,981,BRCA,eligible
CASP8,17,964,981,BRCA,insufficient_positive
CBFB,17,964,981,BRCA,insufficient_positive
CDH1,96,885,981,BRCA,eligible
CDKN1B,6,975,981,BRCA,insufficient_positive
CHD4,21,960,981,BRCA,eligible
CTCF,15,966,981,BRCA,insufficient_positive
ERBB2,23,958,981,BRCA,eligible
FBXW7,14,967,981,BRCA,insufficient_positive
FOXA1,28,953,981,BRCA,eligible
GATA3,92,889,981,BRCA,eligible
GPS2,9,972,981,BRCA,insufficient_positive
KMT2C,71,910,981,BRCA,eligible
KRAS,5,976,981,BRCA,insufficient_positive
MAP2K4,30,951,981,BRCA,eligible
MAP3K1,62,919,981,BRCA,eligible
NCOR1,37,944,981,BRCA,eligible
NF1,30,951,981,BRCA,eligible
PIK3CA,266,715,981,BRCA,eligible
PIK3R1,23,958,981,BRCA,eligible
PTEN,47,934,981,BRCA,eligible
PTPRD,17,964,981,BRCA,insufficient_positive
RB1,20,961,981,BRCA,eligible
RUNX1,31,950,981,BRCA,eligible
SF3B1,17,964,981,BRCA,insufficient_positive
TBX3,25,956,981,BRCA,eligible
TP53,259,722,981,BRCA,eligible
AKT1,6,246,252,CESC,insufficient_positive
ARID1A,16,236,252,CESC,insufficient_positive
CASP8,10,242,252,CESC,insufficient_positive
EP300,30,222,252,CESC,eligible
ERBB2,9,243,252,CESC,insufficient_positive
ERBB3,13,239,252,CESC,insufficient_positive
FAT1,19,233,252,CESC,insufficient_positive
FBXW7,29,223,252,CESC,eligible
HLA-B,15,237,252,CESC,insufficient_positive
KLF5,7,245,252,CESC,insufficient_positive
KMT2C,47,205,252,CESC,eligible
KMT2D,38,214,252,CESC,eligible
KRAS,13,239,252,CESC,insufficient_positive
LATS1,10,242,252,CESC,insufficient_positive
MAP3K1,5,247,252,CESC,insufficient_positive
MAPK1,10,242,252,CESC,insufficient_positive
NFE2L2,14,238,252,CESC,insufficient_positive
NOTCH1,18,234,252,CESC,insufficient_positive
PIK3CA,71,181,252,CESC,eligible
POLRMT,11,241,252,CESC,insufficient_positive
PTEN,18,234,252,CESC,insufficient_positive
RB1,17,235,252,CESC,insufficient_positive
SMAD4,12,240,252,CESC,insufficient_positive
STK11,10,242,252,CESC,insufficient_positive
TGFBR2,4,248,252,CESC,insufficient_positive
TP53,21,231,252,CESC,eligible
ARID1A,4,32,36,CHOL,insufficient_positive
BAP1,7,29,36,CHOL,insufficient_positive
EPHA2,4,32,36,CHOL,insufficient_positive
IDH1,5,31,36,CHOL,insufficient_positive
PBRM1,7,29,36,CHOL,insufficient_positive
ACVR2A,21,361,382,COAD,eligible
AMER1,37,345,382,COAD,eligible
APC,196,186,382,COAD,eligible
ARID1A,34,348,382,COAD,eligible
BRAF,44,338,382,COAD,eligible
CTNNB1,21,361,382,COAD,eligible
FBXW7,43,339,382,COAD,eligible
GNAS,14,368,382,COAD,insufficient_positive
KRAS,126,256,382,COAD,eligible
NRAS,10,372,382,COAD,insufficient_positive
PCBP1,13,369,382,COAD,insufficient_positive
PIK3CA,83,299,382,COAD,eligible
PTEN,19,363,382,COAD,insufficient_positive
SMAD2,10,372,382,COAD,insufficient_positive
SMAD4,36,346,382,COAD,eligible
SOX9,42,340,382,COAD,eligible
TCF7L2,32,350,382,COAD,eligible
TGIF1,10,372,382,COAD,insufficient_positive
TP53,161,221,382,COAD,eligible
ZFP36L2,19,363,382,COAD,insufficient_positive
B2M,9,24,33,DLBC,insufficient_positive
BTG2,8,25,33,DLBC,insufficient_positive
CARD11,6,27,33,DLBC,insufficient_positive
CD70,4,29,33,DLBC,insufficient_positive
CD79B,3,30,33,DLBC,insufficient_positive
HIST1H1E,5,28,33,DLBC,insufficient_positive
HLA-B,4,29,33,DLBC,insufficient_positive
KMT2D,10,23,33,DLBC,insufficient_positive
MYD88,5,28,33,DLBC,insufficient_positive
PIM1,6,27,33,DLBC,insufficient_positive
TMSB4X,5,28,33,DLBC,insufficient_positive
TNFAIP3,3,30,33,DLBC,insufficient_positive
TP53,5,28,33,DLBC,insufficient_positive
ARID1A,11,144,155,ESCA,insufficient_positive
CDKN2A,10,145,155,ESCA,insufficient_positive
ERBB2,8,147,155,ESCA,insufficient_positive
FBXW7,8,147,155,ESCA,insufficient_positive
KMT2D,18,137,155,ESCA,insufficient_positive
NFE2L2,17,138,155,ESCA,insufficient_positive
NOTCH1,14,141,155,ESCA,insufficient_positive
NSD1,6,149,155,ESCA,insufficient_positive
PIK3CA,14,141,155,ESCA,insufficient_positive
PTCH1,8,147,155,ESCA,insufficient_positive
SMAD4,12,143,155,ESCA,insufficient_positive
TP53,138,17,155,ESCA,insufficient_negative
ZNF750,12,143,155,ESCA,insufficient_positive
ATRX,14,227,241,GBM,insufficient_positive
