Variant_Classification,N,tumor_type,retained_as_protein_altering
Missense_Mutation,6455,ACC,TRUE
Frame_Shift_Del,320,ACC,TRUE
Splice_Site,182,ACC,TRUE
Nonsense_Mutation,512,ACC,TRUE
Frame_Shift_Ins,101,ACC,TRUE
In_Frame_Del,96,ACC,TRUE
In_Frame_Ins,4,ACC,TRUE
Nonstop_Mutation,10,ACC,TRUE
Translation_Start_Site,11,ACC,TRUE
Missense_Mutation,81488,BLCA,TRUE
Nonsense_Mutation,7837,BLCA,TRUE
Nonstop_Mutation,138,BLCA,TRUE
Splice_Site,1874,BLCA,TRUE
Frame_Shift_Ins,560,BLCA,TRUE
Frame_Shift_Del,1383,BLCA,TRUE
In_Frame_Del,310,BLCA,TRUE
Translation_Start_Site,137,BLCA,TRUE
In_Frame_Ins,41,BLCA,TRUE
Frame_Shift_Ins,610,BRCA,TRUE
Missense_Mutation,45638,BRCA,TRUE
Splice_Site,1408,BRCA,TRUE
Nonsense_Mutation,3666,BRCA,TRUE
Translation_Start_Site,74,BRCA,TRUE
Frame_Shift_Del,8528,BRCA,TRUE
In_Frame_Del,441,BRCA,TRUE
Nonstop_Mutation,66,BRCA,TRUE
In_Frame_Ins,34,BRCA,TRUE
Missense_Mutation,48799,CESC,TRUE
Nonsense_Mutation,4283,CESC,TRUE
Splice_Site,966,CESC,TRUE
Frame_Shift_Del,1059,CESC,TRUE
Frame_Shift_Ins,387,CESC,TRUE
Translation_Start_Site,68,CESC,TRUE
Nonstop_Mutation,74,CESC,TRUE
In_Frame_Del,190,CESC,TRUE
In_Frame_Ins,19,CESC,TRUE
Nonsense_Mutation,112,CHOL,TRUE
Missense_Mutation,1547,CHOL,TRUE
Frame_Shift_Del,69,CHOL,TRUE
In_Frame_Del,23,CHOL,TRUE
Splice_Site,41,CHOL,TRUE
Frame_Shift_Ins,26,CHOL,TRUE
In_Frame_Ins,4,CHOL,TRUE
Translation_Start_Site,2,CHOL,TRUE
Nonstop_Mutation,2,CHOL,TRUE
Missense_Mutation,112163,COAD,TRUE
Frame_Shift_Del,11288,COAD,TRUE
Nonsense_Mutation,8561,COAD,TRUE
In_Frame_Del,1016,COAD,TRUE
Splice_Site,2553,COAD,TRUE
Frame_Shift_Ins,3036,COAD,TRUE
Translation_Start_Site,139,COAD,TRUE
In_Frame_Ins,71,COAD,TRUE
Nonstop_Mutation,91,COAD,TRUE
Missense_Mutation,4134,DLBC,TRUE
Splice_Site,118,DLBC,TRUE
Nonsense_Mutation,286,DLBC,TRUE
Translation_Start_Site,21,DLBC,TRUE
Frame_Shift_Ins,50,DLBC,TRUE
Frame_Shift_Del,107,DLBC,TRUE
In_Frame_Del,38,DLBC,TRUE
Nonstop_Mutation,5,DLBC,TRUE
In_Frame_Ins,6,DLBC,TRUE
Missense_Mutation,21047,ESCA,TRUE
Nonsense_Mutation,1307,ESCA,TRUE
In_Frame_Del,233,ESCA,TRUE
Frame_Shift_Ins,463,ESCA,TRUE
Frame_Shift_Del,1124,ESCA,TRUE
Splice_Site,449,ESCA,TRUE
In_Frame_Ins,30,ESCA,TRUE
Translation_Start_Site,29,ESCA,TRUE
Nonstop_Mutation,29,ESCA,TRUE
Missense_Mutation,30944,GBM,TRUE
In_Frame_Del,134,GBM,TRUE
Nonsense_Mutation,2577,GBM,TRUE
Splice_Site,748,GBM,TRUE
In_Frame_Ins,17,GBM,TRUE
Frame_Shift_Del,469,GBM,TRUE
Nonstop_Mutation,20,GBM,TRUE
Frame_Shift_Ins,200,GBM,TRUE
Translation_Start_Site,22,GBM,TRUE
Missense_Mutation,60976,HNSC,TRUE
Frame_Shift_Ins,850,HNSC,TRUE
In_Frame_Del,371,HNSC,TRUE
Frame_Shift_Del,1865,HNSC,TRUE
Nonsense_Mutation,4894,HNSC,TRUE
Splice_Site,1589,HNSC,TRUE
Translation_Start_Site,96,HNSC,TRUE
In_Frame_Ins,32,HNSC,TRUE
Nonstop_Mutation,71,HNSC,TRUE
Missense_Mutation,1829,KICH,TRUE
Frame_Shift_Ins,20,KICH,TRUE
Frame_Shift_Del,56,KICH,TRUE
Nonsense_Mutation,128,KICH,TRUE
Splice_Site,54,KICH,TRUE
In_Frame_Ins,2,KICH,TRUE
In_Frame_Del,10,KICH,TRUE
Nonstop_Mutation,4,KICH,TRUE
Translation_Start_Site,3,KICH,TRUE
Missense_Mutation,15747,KIRC,TRUE
Nonsense_Mutation,1112,KIRC,TRUE
Frame_Shift_Del,1721,KIRC,TRUE
In_Frame_Del,257,KIRC,TRUE
Splice_Site,625,KIRC,TRUE
Frame_Shift_Ins,440,KIRC,TRUE
In_Frame_Ins,23,KIRC,TRUE
Translation_Start_Site,33,KIRC,TRUE
Nonstop_Mutation,25,KIRC,TRUE
Missense_Mutation,12578,KIRP,TRUE
Frame_Shift_Del,1469,KIRP,TRUE
Splice_Site,440,KIRP,TRUE
Nonsense_Mutation,757,KIRP,TRUE
Frame_Shift_Ins,445,KIRP,TRUE
In_Frame_Del,250,KIRP,TRUE
Translation_Start_Site,30,KIRP,TRUE
Nonstop_Mutation,27,KIRP,TRUE
In_Frame_Ins,38,KIRP,TRUE
Missense_Mutation,22258,LGG,TRUE
Nonsense_Mutation,1464,LGG,TRUE
Splice_Site,624,LGG,TRUE
Frame_Shift_Del,880,LGG,TRUE
Translation_Start_Site,37,LGG,TRUE
In_Frame_Del,358,LGG,TRUE
Frame_Shift_Ins,317,LGG,TRUE
In_Frame_Ins,14,LGG,TRUE
Nonstop_Mutation,16,LGG,TRUE
Missense_Mutation,30618,LIHC,TRUE
In_Frame_Del,297,LIHC,TRUE
Frame_Shift_Del,1296,LIHC,TRUE
Splice_Site,1189,LIHC,TRUE
Nonsense_Mutation,1937,LIHC,TRUE
Frame_Shift_Ins,425,LIHC,TRUE
Translation_Start_Site,69,LIHC,TRUE
Nonstop_Mutation,49,LIHC,TRUE
In_Frame_Ins,39,LIHC,TRUE
Missense_Mutation,117320,LUAD,TRUE
In_Frame_Del,353,LUAD,TRUE
Splice_Site,3898,LUAD,TRUE
Frame_Shift_Del,3656,LUAD,TRUE
Nonsense_Mutation,9551,LUAD,TRUE
Nonstop_Mutation,157,LUAD,TRUE
Frame_Shift_Ins,1091,LUAD,TRUE
Translation_Start_Site,197,LUAD,TRUE
In_Frame_Ins,33,LUAD,TRUE
Missense_Mutation,107156,LUSC,TRUE
Nonsense_Mutation,8142,LUSC,TRUE
Frame_Shift_Del,3204,LUSC,TRUE
Nonstop_Mutation,151,LUSC,TRUE
Splice_Site,3418,LUSC,TRUE
Frame_Shift_Ins,879,LUSC,TRUE
In_Frame_Del,387,LUSC,TRUE
In_Frame_Ins,42,LUSC,TRUE
Translation_Start_Site,211,LUSC,TRUE
Missense_Mutation,1989,MESO,TRUE
Nonsense_Mutation,153,MESO,TRUE
Frame_Shift_Del,113,MESO,TRUE
Splice_Site,67,MESO,TRUE
In_Frame_Del,34,MESO,TRUE
Frame_Shift_Ins,34,MESO,TRUE
Nonstop_Mutation,3,MESO,TRUE
Translation_Start_Site,6,MESO,TRUE
In_Frame_Del,61,OV,TRUE
Missense_Mutation,3925,OV,TRUE
Splice_Site,139,OV,TRUE
Frame_Shift_Del,198,OV,TRUE
Nonsense_Mutation,213,OV,TRUE
Translation_Start_Site,9,OV,TRUE
Frame_Shift_Ins,44,OV,TRUE
Nonstop_Mutation,7,OV,TRUE
In_Frame_Ins,3,OV,TRUE
Missense_Mutation,18179,PAAD,TRUE
Frame_Shift_Ins,158,PAAD,TRUE
Frame_Shift_Del,217,PAAD,TRUE
Nonsense_Mutation,1245,PAAD,TRUE
In_Frame_Del,57,PAAD,TRUE
Splice_Site,466,PAAD,TRUE
In_Frame_Ins,11,PAAD,TRUE
Nonstop_Mutation,10,PAAD,TRUE
Translation_Start_Site,10,PAAD,TRUE
Missense_Mutation,1560,PCPG,TRUE
Frame_Shift_Del,60,PCPG,TRUE
Nonsense_Mutation,70,PCPG,TRUE
Frame_Shift_Ins,14,PCPG,TRUE
Splice_Site,48,PCPG,TRUE
In_Frame_Ins,3,PCPG,TRUE
