tumor_type,patients,cdr_matched,age_available,age_median,age_q1,age_q3,female,male,gender_missing,race_available,race_white,race_black_or_african_american,race_asian,race_other_recorded,race_missing,stage_available,stage_I,stage_II,stage_III,stage_IV,stage_missing_or_other
Overall,9404,9385,9338,60,50,70,4780,4605,19,8262,6771,827,632,32,1142,7505,2513,2256,1843,893,1899
ACC,56,56,56,49.5,33.5,61,31,25,0,45,42,1,2,0,11,54,5,29,10,10,2
BLCA,386,386,386,69,60,76,100,286,0,369,304,21,44,0,17,384,2,121,133,128,2
BRCA,1054,1054,1053,59,49,68,1042,12,0,960,731,167,61,1,94,1031,174,601,237,19,23
CESC,269,269,269,46,38,56,269,0,0,235,184,27,19,5,34,263,140,61,42,20,6
CHOL,39,39,39,64,57.5,71.5,22,17,0,39,33,3,3,0,0,39,19,10,2,8,0
COAD,433,432,432,68.5,58,77,211,221,1,276,206,58,11,1,157,421,73,163,125,60,12
DLBC,44,44,44,57,45.75,67,26,18,0,44,29,1,14,0,0,38,8,16,5,9,6
ESCA,156,156,156,59.5,53,70,21,135,0,137,86,5,46,0,19,153,15,71,53,14,3
GBM,384,384,384,59,49,68,147,237,0,369,332,30,7,0,15,0,0,0,0,0,384
HNSC,450,450,449,61,53,69,122,328,0,436,382,43,9,2,14,450,22,75,82,271,0
KICH,108,108,108,50,42,59.25,50,58,0,106,91,11,4,0,2,108,50,33,18,7,0
KIRC,513,513,513,61,52,70,182,331,0,506,444,54,8,0,7,510,256,57,119,78,3
KIRP,273,273,270,61,54,71,72,201,0,260,194,58,6,2,13,257,168,25,49,15,16
LGG,490,489,489,41,32,53,218,271,1,479,451,20,7,1,11,0,0,0,0,0,490
LIHC,364,364,363,61,51,69,119,245,0,355,178,14,161,2,9,341,167,85,84,5,23
LUAD,468,468,449,66,59,73,253,215,0,413,353,51,8,1,55,460,255,114,66,25,8
LUSC,477,477,468,68,62,73.25,121,356,0,366,327,30,9,0,111,473,234,152,81,6,4
MESO,75,75,75,65,57.5,69.5,15,60,0,75,73,1,1,0,0,75,8,13,39,15,0
OV,106,106,106,61.5,54,70.75,106,0,0,103,87,11,2,3,3,104,2,4,74,24,2
PAAD,183,183,183,65,57,73,81,102,0,178,160,7,11,0,5,181,21,151,4,5,2
PCPG,176,176,176,46,35,58.25,100,76,0,172,145,20,6,1,4,0,0,0,0,0,176
PRAD,402,402,402,61,56,66,0,402,0,146,137,7,2,0,256,0,0,0,0,0,402
READ,156,155,155,66,57,72,71,84,1,82,75,6,1,0,74,147,28,48,49,22,9
SARC,254,254,254,61,53,71,138,116,0,245,221,18,6,0,9,0,0,0,0,0,254
SKCM,292,292,288,58.5,48,71.25,111,181,0,286,276,0,10,0,6,254,50,94,96,14,38
STAD,374,374,370,67,58,72,128,246,0,331,234,13,83,1,43,366,47,115,169,35,8
TGCT,149,133,133,31,26,37,0,133,16,128,118,6,4,0,21,132,105,13,14,0,17
THCA,505,505,505,46,35,58,369,136,0,412,332,27,52,1,93,503,285,51,112,55,2
THYM,121,121,120,60.5,49.75,68.25,60,61,0,119,100,6,13,0,2,119,37,61,14,7,2
UCEC,505,505,502,63.5,57,71,505,0,0,475,343,102,19,11,30,505,319,48,110,28,0
UCS,53,53,53,69,63,76,53,0,0,53,41,9,3,0,0,53,21,4,19,9,0
UVM,80,80,80,61.5,51,74.25,35,45,0,55,55,0,0,0,25,80,0,39,37,4,0
Unresolved,9,9,8,65,60,69.25,2,7,0,7,7,0,0,0,2,4,2,2,0,0,5
