tumor_type,subfamily,endpoint,source,score_method,patients,pathway_genes_requested,pathway_genes_measured,mean,sd
ACC,vitamin B6 metabolism,GOBP_VITAMIN_B6_METABOLIC_PROCESS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,6,5,-1.16674346951516e-15,0.521429952831318
ACC,MSigDB Hallmark,HALLMARK_ADIPOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,200,189,1.07426693803218e-16,0.203633584407435
ACC,MSigDB Hallmark,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,200,194,-7.16598497712601e-17,0.485809273376736
ACC,MSigDB Hallmark,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,101,97,6.05576195250085e-17,0.182650185191134
ACC,MSigDB Hallmark,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,36,36,4.84460956200068e-17,0.297286944576413
ACC,MSigDB Hallmark,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,200,192,-9.58828975812635e-17,0.1896019790166
ACC,MSigDB Hallmark,HALLMARK_APICAL_SURFACE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,44,43,-2.85125458596915e-16,0.18430873027469
ACC,MSigDB Hallmark,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,161,158,7.51923775768856e-17,0.23312295503287
ACC,MSigDB Hallmark,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,112,111,1.64514866376273e-16,0.200387352737284
ACC,MSigDB Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,74,72,-3.45178431292549e-16,0.29637264777948
ACC,MSigDB Hallmark,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,55,138,136,2.10690051264092e-16,0.257886711886887
