tumor_type,patients,eligible_slides,single_slide_patients,multi_slide_patients,maximum_slides_per_patient,patients_with_multiple_primary_sample_barcodes,exact_report_matched_slides
,9,12,7,2,3,0,0
ACC,56,227,11,45,6,0,221
BLCA,386,457,360,26,9,0,424
BRCA,1054,1125,988,66,4,0,1062
CESC,269,279,264,5,4,0,260
CHOL,39,39,39,0,1,0,37
COAD,433,440,427,6,3,0,402
DLBC,44,44,44,0,1,0,43
ESCA,156,158,154,2,2,0,118
GBM,384,852,191,193,9,0,521
HNSC,450,472,432,18,4,0,464
KICH,108,108,108,0,1,0,108
KIRC,513,518,509,4,3,0,504
KIRP,273,297,262,11,9,0,284
LGG,490,833,382,108,17,0,784
LIHC,364,372,356,8,2,0,336
LUAD,468,530,448,20,10,0,500
LUSC,477,511,467,10,9,0,476
MESO,75,87,68,7,4,0,79
OV,106,107,105,1,2,0,63
PAAD,183,203,175,8,7,0,191
PCPG,176,194,158,18,2,0,187
PRAD,402,448,389,13,9,0,406
READ,156,157,155,1,2,0,150
SARC,254,600,155,99,30,0,571
SKCM,292,305,286,6,9,0,105
STAD,374,399,349,25,2,0,321
TGCT,149,245,86,63,15,0,119
THCA,505,518,493,12,3,0,493
THYM,121,180,114,7,19,0,167
UCEC,505,565,464,41,8,0,562
UCS,53,87,35,18,5,0,83
UVM,80,80,80,0,1,0,65
