outcome_type,family,tumor_type,endpoint,p_permutation,permutations,permutation_exceedances,permutation_attempted,permutation_stopped_early,p_mc_lower_95,p_mc_upper_95,p_mc_status
continuous,aneuploidy,UCEC,Aneuploidy score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,UCEC,Deleted arm count,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,COAD,Aneuploidy score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,STAD,Aneuploidy score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,BRCA,Aneuploidy score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,COAD,Deleted arm count,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,BRCA,Deleted arm count,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,UVM,Deleted arm count,0.002,999,1,999,FALSE,2.53428300004834e-05,0.00556447604071408,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,LUAD,Aneuploidy score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,aneuploidy,LGG,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THYM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SARC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,STAD,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LGG,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LUAD,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PRAD,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PRAD,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SARC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THYM,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,BLCA,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRP,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRP,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LGG,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LIHC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PAAD,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,TGCT,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THCA,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THYM,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCEC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ACC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,HNSC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LIHC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KIRP,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LIHC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PRAD,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,BLCA,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,CESC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THCA,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,HNSC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LUAD,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SARC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,OV,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,READ,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LUSC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,CESC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,STAD,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,COAD,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,TGCT,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,READ,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,BRCA,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,CESC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KICH,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,BLCA,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PAAD,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PCPG,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ESCA,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,GBM,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,MESO,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,HNSC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LUSC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,THCA,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,GBM,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,GBM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ACC,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,LUSC,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,READ,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PCPG,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,TGCT,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,OV,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ESCA,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ESCA,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PAAD,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,MESO,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,OV,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCS,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,PCPG,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,ACC,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SKCM,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCS,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UVM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SKCM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SKCM,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KICH,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,MESO,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCS,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
