tumor_type,block,endpoint,n,metric,pls1,pls2,delta_pls2_minus_pls1,sd_delta,median_ncomp_pls1,median_ncomp_pls2,n_repeats,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
ACC,inferred_cell_fractions,B Cells Memory,54,Q2,-0.427754977208479,-0.0748182914985894,0.352936685709889,0.134173868002808,1.33333333333333,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,B Cells Naive,54,Q2,-0.0874728508197418,-0.0144053691324409,0.0730674816873009,0.0606006644888008,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Dendritic Cells Activated,54,Q2,0.161899426038129,0.0652045416849674,-0.0966948843531616,0.0721592697493977,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Dendritic Cells Resting,54,Q2,-0.232913449098107,-0.118932813773863,0.113980635324244,0.0684996819160664,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Eosinophils,54,Q2,-0.276761794409113,-0.028900525722309,0.247861268686804,0.0624820256168778,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Macrophages M0,54,Q2,-0.306455663881295,-0.0878851921735617,0.218570471707734,0.0944675176864337,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Macrophages M1,54,Q2,-0.206652596007157,-0.131943048978351,0.0747095470288068,0.27062667306886,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Macrophages M2,54,Q2,-0.112145143424598,-0.0392104852647018,0.072934658159896,0.101007838568377,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Mast Cells Activated,54,Q2,-0.820252625676653,-0.103736353680557,0.716516271996096,0.532665882665835,3,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
ACC,inferred_cell_fractions,Mast Cells Resting,54,Q2,-0.154389163477693,-0.0307174337247782,0.123671729752914,0.0745967087153657,1,1.33333333333333,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
