tumor_type,block,n_endpoints,median_delta,mean_delta,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
ACC,inferred_cell_fractions,23,0.169029244446273,0.233540427000073,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
ACC,infiltration_signatures,7,0.0123799512884342,0.0106418130696319,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BLCA,immune_repertoire,6,0.0201896749492603,0.0458304204425506,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BLCA,inferred_cell_fractions,25,0.00428511507729386,0.00617005771400883,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BLCA,infiltration_signatures,8,0.00889919684490705,0.00774247779006851,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BRCA,immune_repertoire,6,0.020694918157614,0.0160014050413338,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BRCA,inferred_cell_fractions,25,0.00576531328437728,0.00543876147069287,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
BRCA,infiltration_signatures,8,-0.00695784610915112,-0.00221445367230252,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
CESC,immune_repertoire,6,0.0184338741994982,0.0245834849111665,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
CESC,inferred_cell_fractions,25,0.0153365560985755,0.0256186887061184,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
CESC,infiltration_signatures,8,0.0289391082330975,0.0378577395551905,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
COAD,immune_repertoire,6,0.00264459776981196,-0.000280152450154504,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
COAD,inferred_cell_fractions,25,0.0141539135599987,0.0140140186531642,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
COAD,infiltration_signatures,8,0.0326653283247805,0.0259768591030635,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
ESCA,immune_repertoire,6,0.0532608690281672,0.059253388332444,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
ESCA,inferred_cell_fractions,24,0.0211759719460827,0.0535038813663069,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
ESCA,infiltration_signatures,7,0.00652617091017997,0.00351226753595068,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
GBM,inferred_cell_fractions,25,0.167785679407004,0.174781697864048,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
GBM,infiltration_signatures,7,0.0128686264768105,0.03152702702175,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
HNSC,immune_repertoire,6,0.00455727276880415,0.0300771802883695,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
HNSC,inferred_cell_fractions,25,0.0121850675387798,0.0209824628938796,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
HNSC,infiltration_signatures,7,0.0100444844046818,0.00564491481459249,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KICH,inferred_cell_fractions,24,0.186202205383748,0.19868121914609,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KICH,infiltration_signatures,7,0.00826897991097308,0.0211897080024424,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KIRC,immune_repertoire,6,0.056558473297708,0.0731385638711854,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KIRC,inferred_cell_fractions,25,0.00070727297067282,0.00239222030872591,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KIRC,infiltration_signatures,7,-0.0239312027261516,-0.0156589912538361,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KIRP,inferred_cell_fractions,25,0.0153646872772298,0.0248469688708269,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
KIRP,infiltration_signatures,7,0.0208789531931154,0.0252922199812307,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
LGG,inferred_cell_fractions,25,0.00464698282845188,0.0094433385635221,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
