tumor_type,block,endpoint,repeat_id,n,metric,pls1,pls2,median_ncomp_pls1,median_ncomp_pls2,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint,delta_pls2_minus_pls1
ACC,inferred_cell_fractions,B Cells Memory,1,54,Q2,-1.00131270030265,-0.0910931053238542,2,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.910219594978799
ACC,inferred_cell_fractions,B Cells Memory,2,54,Q2,-0.405682193210277,-0.0809367242526387,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.324745468957638
ACC,inferred_cell_fractions,B Cells Memory,3,54,Q2,-0.323618591856528,-0.0746832673509748,2,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.248935324505554
ACC,inferred_cell_fractions,B Cells Naive,1,54,Q2,-0.059685547019847,-0.0410503377939866,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.0186352092258604
ACC,inferred_cell_fractions,B Cells Naive,2,54,Q2,-0.151479625128692,-0.0180395855189672,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.133440039609724
ACC,inferred_cell_fractions,B Cells Naive,3,54,Q2,-0.0512533803106869,0.0173831008237062,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.0686364811343931
ACC,inferred_cell_fractions,Dendritic Cells Activated,1,54,Q2,0.151019863907032,0.0560525201185742,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,-0.0949673437884579
ACC,inferred_cell_fractions,Dendritic Cells Activated,2,54,Q2,0.111799111768759,0.0557746349194125,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,-0.0560244768493461
ACC,inferred_cell_fractions,Dendritic Cells Activated,3,54,Q2,0.00559382296222166,0.0346928863358967,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.0290990633736751
ACC,inferred_cell_fractions,Dendritic Cells Resting,1,54,Q2,-0.117897659772203,-0.0945173147632352,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.0233803450089674
ACC,inferred_cell_fractions,Dendritic Cells Resting,2,54,Q2,-0.274120173243486,-0.09084408373389,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.183276089509596
ACC,inferred_cell_fractions,Dendritic Cells Resting,3,54,Q2,-0.203193718871776,-0.168670955479964,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.0345227633918119
ACC,inferred_cell_fractions,Eosinophils,1,54,Q2,-0.366848705256627,-0.0286070891568382,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.338241616099789
ACC,inferred_cell_fractions,Eosinophils,2,54,Q2,-0.48500630054682,-0.0739566080090377,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.411049692537782
ACC,inferred_cell_fractions,Eosinophils,3,54,Q2,-0.318714679620436,0.0320717886964447,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.350786468316881
ACC,inferred_cell_fractions,Macrophages M0,1,54,Q2,-0.285168067895508,-0.0920680187265386,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.193100049168969
ACC,inferred_cell_fractions,Macrophages M0,2,54,Q2,-0.22418232384785,-0.0753465300154199,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.14883579383243
ACC,inferred_cell_fractions,Macrophages M0,3,54,Q2,-0.296143193897161,-0.0633139525949171,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.232829241302244
ACC,inferred_cell_fractions,Macrophages M1,1,54,Q2,-0.0571288678154007,-0.0686537558083458,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,-0.011524887992945
ACC,inferred_cell_fractions,Macrophages M1,2,54,Q2,-0.292176882304828,-0.150246514948895,1,1,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac,0.141930367355933
