family,size_stratum,outcome_type,tumor_type,endpoint,n,positive,negative,screen_tier,imbalance_stratum,minority_fraction,selection_hash,benchmark_index,selection_version,selection_uses_pls_performance
aneuploidy,large,binary,LGG,Genome doubling,481,157,324,C,low,0.326403326403326,0b6818e3b270d1d89f8d264f97a40a8b3052611e659551c12a5a297ffbf06092,13,titan-representative-benchmark-v1,FALSE
aneuploidy,large,binary,KIRC,Genome doubling,464,89,375,C,moderate,0.191810344827586,3acab48dc22bc3faebf46da62abd1f9a46797a5e842dfb179b4c4eb00c1df78d,14,titan-representative-benchmark-v1,FALSE
aneuploidy,medium,binary,PRAD,Genome doubling,382,29,353,C,high,0.0759162303664922,37da62aeec825c298d93c13f009c9e7d88b84963029c4a5ec78a6629443cb60b,15,titan-representative-benchmark-v1,FALSE
aneuploidy,medium,binary,COAD,Genome doubling,408,165,243,B,low,0.404411764705882,1ef22274a533ce2b7a203089208532f1dacbea71903b781775aae7986136ebb7,16,titan-representative-benchmark-v1,FALSE
aneuploidy,medium,binary,GBM,Genome doubling,362,46,316,C,moderate,0.12707182320442,66b91c7c32670ad27e3ef475e4e5a80accb5baa0854071509ba36cdc888a88ae,17,titan-representative-benchmark-v1,FALSE
aneuploidy,small,binary,ESCA,Genome doubling,136,79,57,C,low,0.419117647058824,459b38765a74a11f7d295c785d6758eb6e3ed7b3b2fca5895767d7b02c497f53,18,titan-representative-benchmark-v1,FALSE
aneuploidy,small,binary,PAAD,Genome doubling,163,40,123,C,moderate,0.245398773006135,0da0559edd862b3ac924862ac8f8cc4c3ba19803b9d4c6af128547dd5a2118cb,19,titan-representative-benchmark-v1,FALSE
driver_mutation,large,binary,LUAD,ARID1A,463,25,438,C,high,0.0539956803455724,006372704b4a9e72da51acefcf409da2c39fd94372fcff5b1d5599019001ba51,20,titan-representative-benchmark-v1,FALSE
driver_mutation,large,binary,LUAD,KRAS,463,140,323,C,low,0.302375809935205,0dc01cc67fdc34c6cbddd5e89eda459a02034634d082298e30cf4d3b3c61c579,21,titan-representative-benchmark-v1,FALSE
driver_mutation,large,binary,UCEC,CTCF,487,96,391,C,moderate,0.197125256673511,07baaf278d9d454254cf760ba2e81380b1a1bc98268ed02cd514e57de17a3d9f,22,titan-representative-benchmark-v1,FALSE
driver_mutation,medium,binary,HNSC,AJUBA,431,28,403,C,high,0.0649651972157773,0594c366c4035ae17139582c45d0257af98ac8b405da5584957afd3dcb3e2eea,23,titan-representative-benchmark-v1,FALSE
driver_mutation,medium,binary,BLCA,TP53,384,185,199,B,low,0.481770833333333,17ec8acaa7a2de7aa6fddee60c9995fe48f2407841d3a68767ff10be4333a541,24,titan-representative-benchmark-v1,FALSE
driver_mutation,medium,binary,STAD,DMD,371,48,323,C,moderate,0.129380053908356,197568b12fc089c6d1df7b42f6cf6a90c20c3a0842b45b3602d41ad0f9ba43c1,25,titan-representative-benchmark-v1,FALSE
driver_mutation,small,binary,KIRC,MTOR,353,27,326,C,high,0.0764872521246459,0a909505762208ffac878f21361cf6d4505ccca8bf9efa6e6811257740307fab,26,titan-representative-benchmark-v1,FALSE
driver_mutation,small,binary,OV,TP53,72,22,50,B,low,0.305555555555556,32c23f82377c5952f1c9edd13544915c1d0463531b729859f3b8114ae89eea4f,27,titan-representative-benchmark-v1,FALSE
driver_mutation,small,binary,CESC,KMT2C,252,47,205,C,moderate,0.186507936507937,0935912a22bac07053e43e7a7f05c31c835eb432001c321814a6771963a42b1a,28,titan-representative-benchmark-v1,FALSE
fusion,large,binary,THCA,Fusion pair: CCDC6--RET,502,21,481,B,high,0.0418326693227092,35705f6589c400c75ef88d2b205c134a0eb768c7b53c65321e19938865cb6720,29,titan-representative-benchmark-v1,FALSE
