outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,screen_tier,patients,repeats,pls_primary_mean,ridge_primary_mean,delta_ridge_minus_pls,pls_secondary_mean,ridge_secondary_mean,delta_secondary_ridge_minus_pls,delta_ci_low,delta_ci_high,delta_secondary_ci_low,delta_secondary_ci_high,bootstrap_resamples,bootstrap_unit,interval_method,uncertainty_included,uncertainty_excluded,selected_method,primary_metric,secondary_metric,decision_rule_symmetry,benchmark_scope
binary,microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),medium,moderate,A,364,5,0.882699443413729,0.893692022263451,0.0109925788497217,0.819805194805195,0.808766233766234,-0.011038961038961,-0.00586700936482086,0.0286884608056776,-0.0415804745480645,0.0197406240756109,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),medium,moderate,A,391,5,0.839517435416489,0.845212720607042,0.00569528519055333,0.765998806377355,0.771894449654702,0.00589564327734668,-0.00998973825072659,0.0219131176288654,-0.017195197044335,0.0309293019629425,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,fusion,THCA,Fusion pair: CCDC6--RET,large,high,B,502,5,0.780793980793981,0.837402237402237,0.0566082566082566,0.716305316305316,0.793366993366993,0.0770616770616771,0.00800998797480567,0.112160996026027,0.028174430474693,0.128900443651547,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",ridge,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,fusion,LGG,Any called fusion,large,low,B,487,5,0.758943885475049,0.755658721048011,-0.00328516442703761,0.69772098048484,0.706497737862111,0.00877675737727057,-0.0120388270355376,0.00503946631893306,-0.0025962715431949,0.0206014861646685,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,aneuploidy,COAD,Genome doubling,medium,low,B,408,5,0.746911086170345,0.746187803965582,-0.000723282204763675,0.675892255892256,0.685447063224841,0.00955480733258516,-0.0260696957236842,0.0237462183578436,-0.0152190879951285,0.0351116047632763,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),large,low,B,487,5,0.717804119704625,0.744314030314808,0.0265099106101827,0.673435678196658,0.682170617955694,0.00873493975903612,0.00449219007500845,0.0477651518747707,-0.0139423388941362,0.0303491289836328,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",ridge,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,driver_mutation,BLCA,TP53,medium,low,B,384,5,0.704642129566753,0.71282357734619,0.00818144777943775,0.668683960342252,0.676830096428086,0.00814613608583459,-0.00612829254571606,0.0229996912175925,-0.00752719458475975,0.0235161531930722,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,driver_mutation,UCEC,CTCF,large,moderate,C,487,5,0.67412084398977,0.68851768968457,0.0143968456947996,0.63992700341006,0.633389279624893,-0.00653772378516624,-0.00890290274294046,0.0388205187920153,-0.0338703119251383,0.020392759652628,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,driver_mutation,OV,TP53,small,low,B,72,5,0.664,0.661454545454545,-0.00254545454545454,0.621454545454546,0.630545454545455,0.0090909090909091,-0.0468240489130435,0.0380798611111111,-0.0260038461538461,0.0437551804812834,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",uncertain,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,464,5,0.658169288389513,0.692194756554307,0.034025468164794,0.636086891385768,0.67063670411985,0.0345498127340824,0.0172855593752321,0.0510037280810445,0.0149834422135368,0.0560609641833866,2000,patient cluster,selection-conditioned paired patient-resampling percentile interval for the ridge-minus-PLS difference in the mean of five repeat-specific out-of-fold metrics,"paired patient resampling conditional on five matched repeated nested-CV out-of-fold prediction sets; both algorithms use identical patients, outer folds and inner folds","metadata-stratified benchmark-sample selection; generation of new partitions; scaling, tuning or model refitting within bootstrap replicates; external cohort, site, scanner or population shift",ridge,AUROC (threshold-independent),balanced accuracy (inner-CV thresholds for both),identical outer and inner folds; both operating thresholds selected inside each outer training set to maximise inner out-of-fold balanced accuracy,47 metadata-stratified endpoints selected from all 2073 eligible tests without reference to PLS performance; representative rather than atlas-wide
