outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,screen_tier,repeat_id,pls_primary,ridge_primary,pls_secondary,ridge_secondary,delta_ridge_minus_pls,delta_secondary_ridge_minus_pls
binary,aneuploidy,ACC,Genome doubling,small,low,C,1,0.40521978021978,0.451923076923077,0.395604395604396,0.501373626373626,0.0467032967032967,0.105769230769231
binary,aneuploidy,ACC,Genome doubling,small,low,C,2,0.627747252747253,0.557692307692308,0.556318681318681,0.526098901098901,-0.070054945054945,-0.0302197802197802
binary,aneuploidy,ACC,Genome doubling,small,low,C,3,0.516483516483517,0.487637362637363,0.456043956043956,0.504120879120879,-0.0288461538461539,0.048076923076923
binary,aneuploidy,ACC,Genome doubling,small,low,C,4,0.652472527472528,0.649725274725275,0.561813186813187,0.565934065934066,-0.00274725274725274,0.00412087912087911
binary,aneuploidy,ACC,Genome doubling,small,low,C,5,0.521978021978022,0.543269230769231,0.506868131868132,0.490384615384615,0.0212912087912087,-0.0164835164835165
binary,aneuploidy,BRCA,Genome doubling,large,low,A,1,0.760905903457273,0.769553163731246,0.686272831050228,0.707228473581213,0.00864726027397267,0.020955642530985
binary,aneuploidy,BRCA,Genome doubling,large,low,A,2,0.768301532941944,0.779370515329419,0.711081213307241,0.710437051532942,0.0110689823874756,-0.000644161774298824
binary,aneuploidy,BRCA,Genome doubling,large,low,A,3,0.772325505544684,0.773544520547945,0.715455805609915,0.708663568166993,0.0012190150032616,-0.00679223744292234
binary,aneuploidy,BRCA,Genome doubling,large,low,A,4,0.764673026744945,0.776977332028702,0.700118232224397,0.702152641878669,0.0123043052837574,0.0020344096542726
binary,aneuploidy,BRCA,Genome doubling,large,low,A,5,0.76984670580561,0.774840998043053,0.702841650358774,0.699474070450098,0.00499429223744297,-0.00336757990867576
binary,aneuploidy,COAD,Genome doubling,medium,low,B,1,0.735827409901484,0.768724279835391,0.693415637860082,0.67317620650954,0.0328968699339069,-0.0202394313505425
binary,aneuploidy,COAD,Genome doubling,medium,low,B,2,0.736450929043522,0.765282454171343,0.680433969322858,0.693939393939394,0.0288315251278215,0.0135054246165356
binary,aneuploidy,COAD,Genome doubling,medium,low,B,3,0.723357027060731,0.752437959845367,0.675009352787131,0.682154882154882,0.0290809327846364,0.00714552936775159
binary,aneuploidy,COAD,Genome doubling,medium,low,B,4,0.711809452550193,0.740665918443696,0.658024691358025,0.683651328095773,0.0288564658935029,0.0256266367377479
