outcome_type,family,tumor_type,endpoint,n,positive,negative,screen_tier,size_stratum,imbalance_stratum,minority_fraction,selection_hash,selected,selection_version,selection_uses_pls_performance,selection_rule
binary,aneuploidy,LGG,Genome doubling,481,157,324,C,large,low,0.326403326403326,0b6818e3b270d1d89f8d264f97a40a8b3052611e659551c12a5a297ffbf06092,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,BRCA,Genome doubling,998,438,560,B,large,low,0.438877755511022,e7178e89da3be43239ccff29ccc4913866f6c3fcf9e0bb18a74007e887789a52,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,KIRC,Genome doubling,464,89,375,C,large,moderate,0.191810344827586,3acab48dc22bc3faebf46da62abd1f9a46797a5e842dfb179b4c4eb00c1df78d,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,UCEC,Genome doubling,477,97,380,A,large,moderate,0.20335429769392,6f1282bc1b3a4eb201e1c8f81031ea1bc5c8c3d1461053ea163688129a5f0f44,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,PRAD,Genome doubling,382,29,353,C,medium,high,0.0759162303664922,37da62aeec825c298d93c13f009c9e7d88b84963029c4a5ec78a6629443cb60b,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,COAD,Genome doubling,408,165,243,B,medium,low,0.404411764705882,1ef22274a533ce2b7a203089208532f1dacbea71903b781775aae7986136ebb7,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,LUSC,Genome doubling,459,249,210,B,medium,low,0.457516339869281,48fb307a9acd98aacee7b1ac5ea9e8dbd0e27cab2633391541ea4ef255fef580,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,STAD,Genome doubling,360,154,206,B,medium,low,0.427777777777778,56e13f86dea5e706a128bf8bff960109b7dab916c7a37afa62ddd8a060f5cb5d,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,LUAD,Genome doubling,449,264,185,B,medium,low,0.412026726057906,c041631fee668b1f5abccda9e6c71b99922d3a2977fae393398785d633f1af2b,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,HNSC,Genome doubling,435,176,259,B,medium,low,0.404597701149425,d125210ae5ef7dfba6b862fbf87bed9813024b1dca2f8cdf7890fea2e83b9adb,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
