outcome_type,stratifier,stratum,models,median_delta_ridge_minus_pls,q1_delta,q3_delta,pls_better,ridge_better,difference_uncertain
binary,class imbalance,high,8,0.0342472545374143,0.0264153095905514,0.0454443010774624,1,2,5
binary,class imbalance,low,13,0.00764677103718203,-0.00673076923076925,0.025172949863972,1,3,9
binary,class imbalance,moderate,14,0.0287289771160739,0.00995628894763747,0.0429958955062364,1,4,9
binary,outcome family,aneuploidy,7,0.0420060539350578,0.0170694261720391,0.0466629213483146,0,3,4
binary,outcome family,driver_mutation,9,0.0183076396026037,-0.0243322109988777,0.0381236038719285,1,1,7
binary,outcome family,fusion,7,0.0324752278046109,0.00384768687883839,0.0355124120536307,1,3,3
binary,outcome family,microsatellite_instability,2,0.0151229230520303,0.0100979096460595,0.0201479364580012,0,1,1
binary,outcome family,microsatellite_instability_sensitivity,1,0.00717250539598206,0.00717250539598206,0.00717250539598206,0,0,1
binary,outcome family,oncogenic_pathway,9,0.0230296212973378,0.0199331550802139,0.0282865282865283,1,1,7
binary,sample size,large,12,0.0214774741182802,0.0156424224612483,0.0289918836793837,2,4,6
binary,sample size,medium,13,0.0264920813068961,0.00486776650459515,0.0353046594982079,1,4,8
binary,sample size,small,10,0.0256580747919331,-6.47881530234555e-05,0.0375227440562098,0,1,9
continuous,outcome family,aneuploidy,3,0.0446644535045886,0.0379927014992056,0.157077228236202,0,3,0
continuous,outcome family,fusion,3,0.011672277525124,0.00197137937548485,0.0506813029479624,0,1,2
continuous,outcome family,microsatellite_instability,3,0.109628481466504,0.0568461290215187,0.132219303509312,0,1,2
continuous,outcome family,rna_pathway_activity,3,0.0340477564803261,0.0218487436449928,0.0438088989624153,0,2,1
continuous,outcome family,thorsson,3,0.0758465901608674,0.0544105199834723,0.110195409911186,0,2,1
continuous,sample size,large,5,0.0313209494938226,0.00406377657653298,0.0329744498060772,0,3,2
continuous,sample size,medium,5,0.0535700414445045,0.0446644535045886,0.0758465901608674,0,4,1
continuous,sample size,small,5,0.109628481466504,0.0896903283708008,0.144544229661504,0,2,3
