study,cancer,gene,prior_metric,prior_evidence,current_status,n,positive,current_balanced_accuracy,current_q,current_tier,source_url
Loeffler2022,BRCA,CDH1,AUROC 0.810,p<0.001,recovered_tier_A,981,96,0.711334745762712,0.005,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Kather2020,BRCA,TP53,AUROC 0.768 [0.735–0.781],FDR q=3.43e-45,recovered_tier_A,981,259,0.722149434753313,0.005,A,https://www.nature.com/articles/s43018-020-0087-6
Loeffler2022,BRCA,TP53,AUROC >0.611,p<0.05,recovered_tier_A,981,259,0.722149434753313,0.005,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Kather2020,COAD,APC,AUROC 0.673 [0.664–0.690],FDR q=1.51e-10,recovered_tier_A,382,196,0.776936581084047,0.00433333333333333,A,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,COAD,TP53,AUROC 0.661 [0.639–0.677],FDR q=1.15e-9,recovered_tier_A,382,161,0.767446108878334,0.00433333333333333,A,https://www.nature.com/articles/s43018-020-0087-6
Loeffler2022,COAD,TP53,AUROC 0.660,p<0.001,recovered_tier_A,382,161,0.767446108878334,0.00433333333333333,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Loeffler2022,LGG,IDH1,AUROC 0.764,p<0.001,recovered_tier_A,485,375,0.781636363636364,0.00185714285714286,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Loeffler2022,LGG,TP53,AUROC 0.787,p<0.001,recovered_tier_A,485,232,0.854683453727682,0.00185714285714286,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Kather2020,READ,APC,AUROC 0.673 [0.664–0.690],FDR q=1.51e-10,recovered_tier_A,135,65,0.862087912087912,0.0015,A,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,READ,TP53,AUROC 0.661 [0.639–0.677],FDR q=1.15e-9,recovered_tier_A,135,66,0.838603425559947,0.0015,A,https://www.nature.com/articles/s43018-020-0087-6
Loeffler2022,READ,TP53,AUROC 0.660,p<0.001,recovered_tier_A,135,66,0.838603425559947,0.0015,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Loeffler2022,THCA,BRAF,AUROC 0.860,p<0.001,recovered_tier_A,490,289,0.844264834994577,0.001,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
Fu2020,UCEC,PTEN,reported histopathological association,Figure 4 / source data,recovered_tier_A,487,261,0.735801715661343,0.0096,A,https://www.nature.com/articles/s43018-020-0085-8
Loeffler2022,UCEC,PTEN,AUROC 0.773,p<0.001,recovered_tier_A,487,261,0.735801715661343,0.0096,A,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
