study,prior_cancer,gene,prior_metric,prior_evidence,prior_note,source_url,current_cancer,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
Coudray2018,LUAD,EGFR,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,tested_not_supported,468,59,409,0.597778790767063,0.195557581534126,1,C
Coudray2018,LUAD,FAT1,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,not_eligible_or_not_tested,,,,,,,
Coudray2018,LUAD,KRAS,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,tested_not_supported,468,140,328,0.566637630662021,0.133275261324042,1,C
Coudray2018,LUAD,SETBP1,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,not_eligible_or_not_tested,,,,,,,
Coudray2018,LUAD,STK11,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,tested_not_supported,468,67,401,0.523523281348867,0.0470465626977332,1,C
Coudray2018,LUAD,TP53,AUROC 0.733–0.856 across six reported genes,held-out cohort,"",https://pubmed.ncbi.nlm.nih.gov/30224757/,LUAD,tested_not_supported,468,234,234,0.709401709401709,0.418803418803419,0.15,C
Fu2020,LIHC,TP53,reported histopathological association,Figure 4 / source data,Explicit mutation example in the article,https://www.nature.com/articles/s43018-020-0085-8,LIHC,tested_not_supported,364,107,257,0.593894323429943,0.187788646859886,1,C
Fu2020,UCEC,PTEN,reported histopathological association,Figure 4 / source data,Explicit mutation example in the article,https://www.nature.com/articles/s43018-020-0085-8,UCEC,tested_not_supported,505,261,244,0.737830538282771,0.475661076565543,0.0685714285714286,C
Kather2020,BRCA,BRCA1,AUROC 0.737 [0.646–0.829],FDR q=0.0151,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,21,1033,0.496127783155857,-0.00774443368828659,1,C
Kather2020,BRCA,GATA3,AUROC 0.566 [0.517–0.599],FDR q=0.0471,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,92,962,0.520134683178162,0.0402693663563229,1,C
Kather2020,BRCA,MAP3K1,AUROC 0.663 [0.626–0.674],FDR q=0.00000393,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,62,992,0.529737903225807,0.059475806451613,1,C
Kather2020,BRCA,PIK3CA,AUROC 0.625 [0.605–0.659],FDR q=1.59e-8,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,266,788,0.577525666959276,0.155051333918553,1,C
Kather2020,BRCA,RB1,AUROC 0.718 [0.635–0.765],FDR q=0.0164,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,20,1034,0.495647969052224,-0.00870406189555128,1,C
Kather2020,BRCA,TP53,AUROC 0.768 [0.735–0.781],FDR q=3.43e-45,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,BRCA,tested_not_supported,1054,259,795,0.717352662635682,0.434705325271363,0.1,C
Kather2020,CESC,CASP8,AUROC 0.795 [0.569–0.953],FDR q=0.00148,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,CESC,not_eligible_or_not_tested,,,,,,,
Kather2020,CESC,PIK3R1,AUROC 0.718 [0.445–0.978],FDR q=0.0268,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,CESC,not_eligible_or_not_tested,,,,,,,
Kather2020,CESC,RB1,AUROC 0.727 [0.624–0.807],FDR q=0.0184,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,CESC,not_eligible_or_not_tested,,,,,,,
Kather2020,CESC,TP53,AUROC 0.673 [0.628–0.749],FDR q=0.0337,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,CESC,tested_not_supported,269,21,248,0.604934715821813,0.209869431643625,0.06,C
Kather2020,CRC,APC,AUROC 0.673 [0.664–0.690],FDR q=1.51e-10,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,BRAF,AUROC 0.702 [0.672–0.755],FDR q=0.0000104,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,BRCA2,AUROC 0.643 [0.554–0.728],FDR q=0.0251,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,KMT2B,AUROC 0.707 [0.606–0.817],FDR q=0.00212,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,KMT2D,AUROC 0.668 [0.573–0.815],FDR q=0.00940,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,KRAS,AUROC 0.616 [0.584–0.654],FDR q=0.0000481,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,PIK3CA,AUROC 0.621 [0.574–0.669],FDR q=0.000489,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,RNF43,AUROC 0.747 [0.679–0.816],FDR q=5.85e-7,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,CRC,TP53,AUROC 0.661 [0.639–0.677],FDR q=1.15e-9,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Kather2020,HNSC,HRAS,AUROC 0.685 [0.617–0.776],FDR q=0.0336,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,HNSC,tested_not_supported,450,27,423,0.520488573680063,0.0409771473601261,1,C
Kather2020,HNSC,NSD1,AUROC 0.668 [0.597–0.737],FDR q=0.00815,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,HNSC,tested_not_supported,450,51,399,0.639097744360902,0.278195488721805,0.09,C
Kather2020,HNSC,RHOA,AUROC 0.798 [0.639–0.954],FDR q=0.0131,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,HNSC,not_eligible_or_not_tested,,,,,,,
Kather2020,HNSC,SMAD4,AUROC 0.755 [0.733–0.765],FDR q=0.0451,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,HNSC,not_eligible_or_not_tested,,,,,,,
Kather2020,HNSC,TP53,AUROC 0.699 [0.687–0.732],FDR q=4.62e-12,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,HNSC,tested_not_supported,450,320,130,0.625961538461539,0.251923076923077,0.09,C
Kather2020,KIRC,PBRM1,AUROC 0.621 [0.572–0.657],FDR q=0.000261,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRC,tested_not_supported,513,144,369,0.549288617886179,0.0985772357723578,1,C
Kather2020,KIRC,SETD2,AUROC 0.646 [0.584–0.706],FDR q=0.0137,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRC,tested_not_supported,513,47,466,0.545498128024838,0.0909962560496758,1,C
Kather2020,KIRP,KRAS,AUROC 0.951 [0.917–0.992],FDR q=0.0000147,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRP,not_eligible_or_not_tested,,,,,,,
Kather2020,KIRP,PBRM1,AUROC 0.752 [0.670–0.920],FDR q=0.0164,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRP,not_eligible_or_not_tested,,,,,,,
Kather2020,KIRP,SETD2,AUROC 0.847 [0.800–0.923],FDR q=3.56e-7,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRP,not_eligible_or_not_tested,,,,,,,
Kather2020,LIHC,CTNNB1,AUROC 0.682 [0.635–0.688],FDR q=0.00000335,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LIHC,tested_not_supported,364,93,271,0.642780621354601,0.285561242709201,0.07,C
Kather2020,LIHC,RB1,AUROC 0.705 [0.616–0.828],FDR q=0.00123,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LIHC,not_eligible_or_not_tested,,,,,,,
