current_cancer,gene,studies,prior_reports,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
BLCA,PTEN,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
CESC,CASP8,Kather2020,1,not_eligible_or_not_tested,,,,,,,
CESC,PIK3R1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
CESC,RB1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
COAD,BRCA2,Kather2020,1,not_eligible_or_not_tested,,,,,,,
COAD,KMT2B,Kather2020,1,not_eligible_or_not_tested,,,,,,,
COAD,KMT2D,Kather2020,1,not_eligible_or_not_tested,,,,,,,
COAD,NOTCH2,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
COAD,RNF43,Kather2020,1,not_eligible_or_not_tested,,,,,,,
ESCA,TP53,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
HNSC,BRAF,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
HNSC,RHOA,Kather2020,1,not_eligible_or_not_tested,,,,,,,
HNSC,SMAD4,Kather2020,1,not_eligible_or_not_tested,,,,,,,
KIRP,KRAS,Kather2020;Loeffler2022,2,not_eligible_or_not_tested,,,,,,,
KIRP,PBRM1,Kather2020;Loeffler2022,2,not_eligible_or_not_tested,,,,,,,
KIRP,SETD2,Kather2020,1,not_eligible_or_not_tested,,,,,,,
LIHC,RB1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
LUAD,FAT1,Coudray2018,1,not_eligible_or_not_tested,,,,,,,
LUAD,SETBP1,Coudray2018,1,not_eligible_or_not_tested,,,,,,,
LUSC,PIK3R1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
PRAD,SETD2,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
READ,BRAF,Kather2020,1,not_eligible_or_not_tested,,,,,,,
READ,BRCA2,Kather2020,1,not_eligible_or_not_tested,,,,,,,
READ,KMT2B,Kather2020,1,not_eligible_or_not_tested,,,,,,,
READ,KMT2D,Kather2020,1,not_eligible_or_not_tested,,,,,,,
READ,NOTCH2,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
READ,PIK3CA,Kather2020,1,not_eligible_or_not_tested,,,,,,,
READ,RNF43,Kather2020,1,not_eligible_or_not_tested,,,,,,,
SKCM,TP53,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,AMER1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,BRCA2,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,KDM6A,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,KMT2B,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,KMT2D,Kather2020,1,not_eligible_or_not_tested,,,,,,,
STAD,NOTCH2,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
STAD,PBRM1,Kather2020,1,not_eligible_or_not_tested,,,,,,,
UCEC,SETD2,Loeffler2022,1,not_eligible_or_not_tested,,,,,,,
BLCA,FGFR3,Loeffler2022,1,recovered_tier_A,384,54,330,0.728956228956229,0.457912457912458,0.01,A
