tumor_type,endpoint,n,q2,spearman,rmse,ncomp,pathways_q2_ge_020,pathways_q2_ge_040
TGCT,HALLMARK_GLYCOLYSIS,149,0.764436895741565,0.840257573009251,0.152393570293001,3,49,33
THCA,HALLMARK_ALLOGRAFT_REJECTION,503,0.59861693355916,0.769706556713598,0.342085639129372,4,30,13
LUAD,HALLMARK_E2F_TARGETS,462,0.573743287687638,0.75147122523237,0.368324271788111,2,22,3
LIHC,HALLMARK_BILE_ACID_METABOLISM,358,0.559395952332576,0.680528684295492,0.263633800417294,2,40,6
BRCA,HALLMARK_MTORC1_SIGNALING,1052,0.557526014853263,0.747450981289476,0.20127785969079,4,37,7
PAAD,HALLMARK_NOTCH_SIGNALING,176,0.556071388395804,0.251996478098173,0.222267242392369,2,27,7
SARC,HALLMARK_COMPLEMENT,252,0.553156043940458,0.722948972039566,0.234672040280359,2,24,7
KIRP,HALLMARK_ADIPOGENESIS,272,0.506220227060312,0.70932491645537,0.201013016771682,2,26,5
CESC,HALLMARK_P53_PATHWAY,267,0.497041897216197,0.645153257115622,0.155677555724079,4,11,1
BLCA,HALLMARK_ALLOGRAFT_REJECTION,382,0.4733829373282,0.679086363162269,0.368957398798054,4,27,6
OV,HALLMARK_CHOLESTEROL_HOMEOSTASIS,69,0.466482882585672,0.666715381804896,0.186979068525974,1,16,3
STAD,HALLMARK_G2M_CHECKPOINT,354,0.461477657595786,0.668143938292452,0.346552046561136,2,18,4
THYM,HALLMARK_NOTCH_SIGNALING,117,0.450121883872264,0.703742001228851,0.253728953382836,2,33,2
GBM,HALLMARK_COAGULATION,96,0.445972134451997,0.643963646228975,0.229646318409451,2,14,3
ACC,HALLMARK_INFLAMMATORY_RESPONSE,55,0.431898859327585,0.418975468975469,0.299213335510602,2,19,3
KIRC,HALLMARK_IL6_JAK_STAT3_SIGNALING,510,0.430815867814215,0.54805615870699,0.319393055992124,4,22,2
UVM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,80,0.422794531499858,0.640107829348336,0.22091723892056,3,9,1
HNSC,HALLMARK_SPERMATOGENESIS,442,0.420978458475509,0.651716494898011,0.186600683771054,2,9,1
LGG,HALLMARK_ANGIOGENESIS,490,0.413036275950029,0.563270253061429,0.305159034813098,2,32,1
KICH,HALLMARK_E2F_TARGETS,65,0.39784050124033,0.292132867132867,0.403084122245911,2,5,0
LUSC,HALLMARK_E2F_TARGETS,475,0.395123723233277,0.609917086088266,0.388922053313599,3,14,0
PCPG,HALLMARK_NOTCH_SIGNALING,176,0.353596348774619,0.599661016949153,0.251528765214239,3,9,0
PRAD,HALLMARK_G2M_CHECKPOINT,400,0.320301909826735,0.522217201357509,0.340157620423014,2,10,0
UCEC,HALLMARK_MYC_TARGETS_V2,492,0.319328354811244,0.600547347933913,0.38218271438451,3,11,0
UCS,HALLMARK_ESTROGEN_RESPONSE_LATE,53,0.315434170110255,0.473391388485728,0.219115148265685,2,6,0
MESO,HALLMARK_MTORC1_SIGNALING,75,0.314246612300439,0.52728307254623,0.244507082674492,1,6,0
ESCA,HALLMARK_P53_PATHWAY,155,0.309521051889525,0.560948728690664,0.166047813693935,4,2,0
COAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,424,0.251065828376775,0.507174534205493,0.439971800486907,4,5,0
READ,HALLMARK_ANGIOGENESIS,147,0.211043613429775,0.450792979168713,0.405069413411241,2,1,0
SKCM,HALLMARK_MTORC1_SIGNALING,97,0.208214382757153,0.470110982537345,0.223270670969312,2,1,0
