tumor_type,n,q2,q2_ci_low,q2_ci_high,rmse,rmse_ci_low,rmse_ci_high,spearman,spearman_ci_low,spearman_ci_high,selected_components,validation,svd_method,seed
LGG,490,0.335006786494783,0.234942927286445,0.415483941510125,0.0695585236900381,0.0638176854598172,0.0757439097831447,0.575622033620983,0.50685133628354,0.634587108566643,3,nested 5-fold patient-level cross-validation,rsvd,20262133
LUAD,466,0.320310681472772,0.228183259004242,0.392031356788059,0.109863340225011,0.102802399435949,0.116569286448103,0.557312025998864,0.483905103183532,0.617953119841616,4,nested 5-fold patient-level cross-validation,rsvd,20262117
THCA,493,0.317026103986832,0.227150618758811,0.410306698381924,0.092487465243923,0.081143845140037,0.10365696021206,0.563696801889654,0.493487734973584,0.628834543276409,3,nested 5-fold patient-level cross-validation,rsvd,20262129
BRCA,1044,0.307405647369035,0.246041011185307,0.363784515553332,0.113266862424874,0.107013588882065,0.119312754289221,0.547997131573062,0.501949045359999,0.591419737016224,5,nested 5-fold patient-level cross-validation,rsvd,20262126
KIRC,512,0.29194308346741,0.207478335131716,0.371985750221898,0.113760501971637,0.106192426047179,0.121186742467091,0.514922340635344,0.447885415541102,0.579530800328373,3,nested 5-fold patient-level cross-validation,rsvd,20262128
GBM,380,0.224852422329358,0.128579426731838,0.312856197422597,0.0965476189566253,0.087066551329613,0.108003600469861,0.478338810804291,0.390446109788104,0.558174705378578,2,nested 5-fold patient-level cross-validation,rsvd,20262116
BLCA,382,0.219865799871398,0.101403675577348,0.308774994519817,0.128522063591869,0.118019022955673,0.139135242644118,0.447606502916422,0.355103869841246,0.53476900164648,3,nested 5-fold patient-level cross-validation,rsvd,20262122
UCEC,503,0.200862936704341,0.136034327005195,0.263754418521951,0.104058012143759,0.0913414101975275,0.118575683413422,0.481098496369562,0.409576283422066,0.54695562487887,2,nested 5-fold patient-level cross-validation,rsvd,20262121
HNSC,448,0.189255391036253,0.0995393124055912,0.267086096461883,0.103257515803361,0.096390506749557,0.110659755191524,0.460467230970658,0.382373658162631,0.531200728518456,3,nested 5-fold patient-level cross-validation,rsvd,20262130
KIRP,272,0.172843795499482,0.0189777919865673,0.301402018072892,0.115472171888286,0.102808867934456,0.12840767156935,0.433157590709956,0.319813629365968,0.535622849649985,2,nested 5-fold patient-level cross-validation,rsvd,20262123
LIHC,361,0.172366564709404,0.0262993433068307,0.27410383816443,0.114126495260644,0.104768959620453,0.123165717209208,0.379825731011212,0.281223479456629,0.467659133162761,3,nested 5-fold patient-level cross-validation,rsvd,20262124
LUSC,477,0.126066416764694,0.0205504515062463,0.224172120575196,0.13923216559411,0.128382636659033,0.149998337335176,0.40212578329023,0.319402331676618,0.481347550453728,3,nested 5-fold patient-level cross-validation,rsvd,20262119
OV,103,0.116072551856105,-0.0786771557420177,0.268568543329161,0.0876699171694933,0.0723165343599693,0.102982237225876,0.395941623865794,0.217761079179751,0.554076420662541,1,nested 5-fold patient-level cross-validation,rsvd,20262118
CESC,265,0.101358959310082,0.0162439277421482,0.182192232192639,0.103077640645551,0.091680401218857,0.115716004925089,0.328243719852788,0.210159091648805,0.447278629002602,1,nested 5-fold patient-level cross-validation,rsvd,20262125
COAD,431,0.0737518209238164,-0.0375599422128632,0.159351831845006,0.0979481205068057,0.0902627292461586,0.105599962474256,0.333503138922137,0.250280858162845,0.417757155752733,4,nested 5-fold patient-level cross-validation,rsvd,20262127
PRAD,399,0.0542552962200837,-0.0307776910491646,0.1325979507433,0.110478146108291,0.0968242767797198,0.123000402515847,0.32583261990599,0.225788487575619,0.418354089107719,1,nested 5-fold patient-level cross-validation,rsvd,20262120
SKCM,96,-0.02071106989108,-0.302350318477699,0.177157399822659,0.0991914105479371,0.0860969572539836,0.11503906940636,0.222913149548544,0.023863212297773,0.422876145599868,1,nested 5-fold patient-level cross-validation,rsvd,20262132
ACC,55,-0.0416483970949775,-0.311681126152707,0.150217125847302,0.108917797040114,0.0727630212512898,0.144973479003176,0.433612358390775,0.222332722626265,0.622922581232448,1,nested 5-fold patient-level cross-validation,rsvd,20262136
UCS,53,-0.0892261233531428,-0.612091710936649,0.126564207380793,0.114026837238129,0.0823529700192039,0.142282938198832,0.122051772874684,-0.166769849858004,0.393617473979239,1,nested 5-fold patient-level cross-validation,rsvd,20262135
READ,154,-0.116942049012597,-0.261274180527806,-0.000983621223598382,0.0831723231323695,0.0757100010414914,0.0906154429200899,0.0437028025440087,-0.112558080365403,0.210415003798166,1,nested 5-fold patient-level cross-validation,rsvd,20262131
KICH,65,-0.382068849675956,-0.731010468349853,-0.0962248157109088,0.10021154928232,0.0650264789938518,0.133947730905576,-0.0098342384527854,-0.276079731872106,0.245918152775608,1,nested 5-fold patient-level cross-validation,rsvd,20262134
