family,tumor_type,endpoint,original_n,exclusion_n,original_q2,exclusion_q2,delta_exclusion_minus_original,excluded_patient,seed
rna_pathway_activity,SARC,HALLMARK_COMPLEMENT,252,251,0.553156043940458,0.512449274992337,-0.0407067689481208,TCGA-DX-AB2L,20263101
rna_pathway_activity,SARC,HALLMARK_IL6_JAK_STAT3_SIGNALING,252,251,0.527229514741177,0.495502694668195,-0.0317268200729824,TCGA-DX-AB2L,20263114
rna_pathway_activity,SARC,HALLMARK_INFLAMMATORY_RESPONSE,252,251,0.51995328992439,0.469484941442726,-0.0504683484816643,TCGA-DX-AB2L,20263115
rna_pathway_activity,SARC,HALLMARK_INTERFERON_GAMMA_RESPONSE,252,251,0.473940027821032,0.457354498208458,-0.0165855296125738,TCGA-DX-AB2L,20263117
rna_pathway_activity,SARC,HALLMARK_IL2_STAT5_SIGNALING,252,251,0.459037766526934,0.457297362556834,-0.00174040397009972,TCGA-DX-AB2L,20263113
rna_pathway_activity,SARC,HALLMARK_ALLOGRAFT_REJECTION,252,251,0.440401308977797,0.508720570899038,0.0683192619212413,TCGA-DX-AB2L,20263092
rna_pathway_activity,SARC,HALLMARK_APOPTOSIS,252,251,0.402664513862636,0.386561642439918,-0.0161028714227179,TCGA-DX-AB2L,20263097
rna_pathway_activity,SARC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,252,251,0.396150588489941,0.3947002288592,-0.00145035963074114,TCGA-DX-AB2L,20263104
rna_pathway_activity,SARC,HALLMARK_MTORC1_SIGNALING,252,251,0.378575654694206,0.327630603558462,-0.0509450511357436,TCGA-DX-AB2L,20263121
rna_pathway_activity,SARC,HALLMARK_COAGULATION,252,251,0.360690856822837,0.343549928567155,-0.0171409282556825,TCGA-DX-AB2L,20263100
rna_pathway_activity,SARC,GOBP_VITAMIN_B6_METABOLIC_PROCESS,252,251,0.336489490177635,0.33004561243687,-0.00644387774076477,TCGA-DX-AB2L,20263090
rna_pathway_activity,SARC,HALLMARK_E2F_TARGETS,252,251,0.334334090910193,0.319513367499569,-0.0148207234106241,TCGA-DX-AB2L,20263103
rna_pathway_activity,SARC,HALLMARK_KRAS_SIGNALING_UP,252,251,0.333884582838603,0.353128936719601,0.0192443538809983,TCGA-DX-AB2L,20263119
rna_pathway_activity,SARC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,252,251,0.330441438002002,0.34005301389981,0.00961157589780792,TCGA-DX-AB2L,20263136
rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V2,252,251,0.326654104480324,0.314137395216363,-0.0125167092639613,TCGA-DX-AB2L,20263123
rna_pathway_activity,SARC,HALLMARK_G2M_CHECKPOINT,252,251,0.323764053804143,0.256422154313238,-0.0673418994909048,TCGA-DX-AB2L,20263108
rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V1,252,251,0.317910757548065,0.285772072909883,-0.032138684638182,TCGA-DX-AB2L,20263122
rna_pathway_activity,SARC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,252,251,0.316577520547215,0.342275986827118,0.025698466279903,TCGA-DX-AB2L,20263135
rna_pathway_activity,SARC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,252,251,0.308602239485974,0.25992310723874,-0.048679132247234,TCGA-DX-AB2L,20263132
rna_pathway_activity,SARC,HALLMARK_INTERFERON_ALPHA_RESPONSE,252,251,0.304422015528395,0.315469163417628,0.0110471478892326,TCGA-DX-AB2L,20263116
rna_pathway_activity,SARC,HALLMARK_ANGIOGENESIS,252,251,0.303459875726734,0.319656158263736,0.0161962825370022,TCGA-DX-AB2L,20263094
rna_pathway_activity,SARC,HALLMARK_P53_PATHWAY,252,251,0.237766732142109,0.193842505105638,-0.0439242270364712,TCGA-DX-AB2L,20263127
rna_pathway_activity,SARC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,252,251,0.222809250613252,0.251155255500625,0.028346004887373,TCGA-DX-AB2L,20263139
rna_pathway_activity,SARC,HALLMARK_NOTCH_SIGNALING,252,251,0.219439257211713,0.246920239004482,0.0274809817927691,TCGA-DX-AB2L,20263125
thorsson,SARC,Macrophage Regulation,218,217,0.516265650275853,0.477381729131636,-0.0388839211442175,TCGA-DX-AB2L,20263046
thorsson,SARC,Leukocyte Fraction,250,249,0.507174750704831,0.493441620309015,-0.0137331303958165,TCGA-DX-AB2L,20263041
thorsson,SARC,Lymphocyte Infiltration Signature Score,218,217,0.485209527571896,0.43194704589119,-0.0532624816807063,TCGA-DX-AB2L,20263047
thorsson,SARC,Wound Healing,218,217,0.359898721453232,0.343911122154574,-0.0159875992986576,TCGA-DX-AB2L,20263045
thorsson,SARC,TGF-beta Response,218,217,0.356947487739335,0.341462545747233,-0.0154849419921024,TCGA-DX-AB2L,20263049
thorsson,SARC,Number of Segments,246,245,0.34106218727258,0.285647268365828,-0.0554149189067524,TCGA-DX-AB2L,20263054
thorsson,SARC,Homologous Recombination Defects,238,238,0.321790269211111,0.270276020722245,-0.051514248488866,TCGA-DX-AB2L,20263057
thorsson,SARC,TCR Shannon,188,187,0.318081933111952,0.209775699103408,-0.108306234008544,TCGA-DX-AB2L,20263061
thorsson,SARC,Th1 Cells,218,217,0.31674396310541,0.330167467069416,0.0134235039640056,TCGA-DX-AB2L,20263065
thorsson,SARC,Stromal Fraction,238,238,0.28915362730206,0.219729921604489,-0.0694237056975715,TCGA-DX-AB2L,20263042
thorsson,SARC,Proliferation,218,217,0.27854043202547,0.323395843549547,0.0448554115240766,TCGA-DX-AB2L,20263044
thorsson,SARC,Th2 Cells,218,217,0.233621246201047,0.183789387578595,-0.0498318586224517,TCGA-DX-AB2L,20263066
