family,tumor_type,endpoint,subfamily,source,n,q2,rmse,spearman,p_permutation,permutations,permutation_exceedances,ncomp.x,seed,fastPLS_version,backend,svd_method,rsvd_oversample,rsvd_power,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier,repeated_q2_mean,repeated_q2_sd,repeated_q2_median,repeated_q2_q1,repeated_q2_q3,repeated_q2_min,repeated_q2_max,repeated_q2_crossing_count,repeated_q2_crossing_proportion,repeated_rmse_mean,repeated_rmse_sd,repeated_spearman_mean,repeated_spearman_sd,nested_partitions,primary_screen_q2,primary_screen_rmse,primary_screen_spearman,repeated_minus_primary_q2,primary_estimate_label,repeated_estimate_label,outcome_type,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,repeated_sensitivity_mean,repeated_sensitivity_sd,repeated_specificity_mean,repeated_specificity_sd,repeated_balanced_accuracy_mean,repeated_balanced_accuracy_sd,repeated_balanced_accuracy_median,repeated_balanced_accuracy_q1,repeated_balanced_accuracy_q3,repeated_balanced_accuracy_min,repeated_balanced_accuracy_max,repeated_balanced_accuracy_crossing_count,repeated_balanced_accuracy_crossing_proportion,repeated_auc_mean,repeated_auc_sd,primary_screen_balanced_accuracy,repeated_minus_primary_balanced_accuracy,model_id,ncomp.y,model_file,model_sha256,training_cohort,aggregation,feature_dimension,external_validation,titan_feature_file_sha256,feature_schema_sha256,prediction_rule,contains_patient_level_training_rows,endpoint_transform,output_units,model_fastPLS_version,model_fastPLS_remote_sha,model_backend,model_svd_method,model_rsvd_oversample,model_rsvd_power,model_fit_seed,model_analysis_fingerprint,class_labels,class_priors,calibration_status,intended_use,redistribution_status,model_evidence_tier,default_inference,limited_evidence_reason,binary_pr_auc,binary_ppv_tcga_prevalence,binary_npv_tcga_prevalence,binary_observed_tcga_prevalence,binary_minimum_outer_test_positive,binary_minimum_outer_test_negative,binary_minimum_inner_training_positive,binary_minimum_inner_training_negative,binary_selected_components_median,binary_selected_components_q1,binary_selected_components_q3,binary_selected_components_minimum,binary_selected_components_maximum,binary_repeat_score_spearman,binary_repeat_class_agreement,binary_all_repeat_class_agreement,evidence_label,site_grouped_metric_name,site_grouped_metric,site_performance_delta,site_grouped_n_sites,site_grouped_feasible,site_retained_effect,site_near_chance_or_worse,site_robustness_status,site_robustness_warning,site_grouped_validation_scope,site_grouped_outer_folds,site_grouped_minimum_test_patients,site_grouped_maximum_test_patients,site_grouped_minimum_test_sites,site_grouped_maximum_test_sites,site_grouped_minimum_test_positive,site_grouped_maximum_test_positive,site_grouped_inner_site_separation
aneuploidy,BLCA,Genome doubling,aneuploidy,Taylor2018_TableS2,376,,,,0.001,999,0,3,20260822,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,A,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,228,148,0.708748221906117,0.417496443812234,0.78859649122807,0.0153195168390988,0.572972972972973,0.0245485163845743,0.680784732100522,0.010419724556175,0.684921763869132,0.680891417733523,0.68764817449028,0.662814129919393,0.68764817449028,5,1,0.73515884305358,0.00912955450947033,0.708748221906117,-0.0279634898055954,aneuploidy__BLCA__Genome_doubling,6,models/aneuploidy__BLCA__Genome_doubling.rds,7c91d40151f45b284ba8ea2ac64f2ff315450953368bfc57b8530eb75c13efa0,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260818,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.393617; 1=0.606383,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.777812670588353,0.740051316072988,0.637832124271477,0.606382978723404,45,29,145,94,5,4,6,3,11,0.848143664992381,0.882446808510638,0.752659574468085,"within-cancer screen-positive, documented screening tier A",balanced accuracy,0.653330962541489,-0.0554172593646281,33,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,36,115,6,8,19,66,TRUE
aneuploidy,BRCA,Aneuploidy score,aneuploidy,Taylor2018_TableS2,998,0.236871433514368,6.84265085937861,0.511479756123805,0.001,999,0,3,20261126,0.3,cpu,rsvd,32,5,999,FALSE,0.0015,0.01,B,0.21495656719933,0.00833880295864842,0.214786284037447,0.208752394235923,0.214876415643212,0.207724798992641,0.228642943087429,5,1,6.92944646857323,0.0368861832515332,0.491691833078405,0.0065727499056743,5,0.236871433514368,6.84265085937861,0.511479756123805,-0.0219148663150376,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,continuous,,,,,,,,,,,,,,,,,,,,,,aneuploidy__BRCA__Aneuploidy_score,4,models/aneuploidy__BRCA__Aneuploidy_score.rds,8283beecf8beb269fc58d6953b7765ebe949339dd157f793892dbeec8fde7d02,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,PLS regression in source endpoint units,FALSE,none,source endpoint units,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260819,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,"","",not evaluated,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",,,,,,,,,,,,,,,,,"within-cancer screen-positive, documented screening tier B",Q2,0.201363032666311,-0.0355084008480572,39,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,116,311,7,8,,,TRUE
aneuploidy,BRCA,Deleted arm count,aneuploidy,Taylor2018_TableS2,998,0.218243854392943,4.79831729256597,0.513319396198732,0.001,999,0,3,20261127,0.3,cpu,rsvd,32,5,999,FALSE,0.0015,0.01,B,0.210928736067089,0.0091488723891781,0.210791273773793,0.206323998662583,0.214145079450716,0.199401912843043,0.223981415605311,4,0.8,4.81843422077896,0.0279514907433894,0.506410151274051,0.00803704996506631,5,0.218243854392943,4.79831729256597,0.513319396198732,-0.0073151183258538,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,continuous,,,,,,,,,,,,,,,,,,,,,,aneuploidy__BRCA__Deleted_arm_count,3,models/aneuploidy__BRCA__Deleted_arm_count.rds,50fdcc66da8236be6495670274514e374e5d19672da2816fc650e60475e72492,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,PLS regression in source endpoint units,FALSE,none,source endpoint units,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260820,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,"","",not evaluated,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",,,,,,,,,,,,,,,,,"within-cancer screen-positive, documented screening tier B",Q2,0.204999005534094,-0.013244848858849,39,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,110,293,7,8,,,TRUE
aneuploidy,BRCA,Genome doubling,aneuploidy,Taylor2018_TableS2,998,,,,0.001,999,0,6,20260828,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,A,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,438,560,0.71249184605349,0.42498369210698,0.628310502283105,0.0124423987154689,0.762857142857143,0.00264864231682014,0.695583822570124,0.0071096875307956,0.697460045662101,0.689469178082192,0.698104207436399,0.687683463796478,0.705202217873451,5,1,0.767027071102414,0.00797782289061482,0.71249184605349,-0.0169080234833658,aneuploidy__BRCA__Genome_doubling,2,models/aneuploidy__BRCA__Genome_doubling.rds,11810dd573118088a25e41cabcd4de8c4b0fa09d7467fd05f4c559a56bcd9c79,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260817,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.561122; 1=0.438878,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.696200369000616,0.6744623995689,0.724110884593736,0.438877755511022,87,112,280,358,5,3,6,2,7,0.909386040854997,0.892384769539078,0.781563126252505,"within-cancer screen-positive, documented screening tier A",balanced accuracy,0.706547619047619,-0.00594422700587105,39,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,121,270,7,8,52,105,TRUE
aneuploidy,CESC,Genome doubling,aneuploidy,Taylor2018_TableS2,259,,,,0.005,999,4,5,20260826,0.3,cpu,rsvd,32,5,999,FALSE,0.005,0.01,B,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,85,174,0.605172413793103,0.210344827586207,0.367058823529412,0.0487916267137125,0.791954022988506,0.0362114574759157,0.579506423258959,0.0189315204520539,0.575760649087221,0.570689655172414,0.578363759296822,0.561392832995267,0.61132521974307,1,0.2,0.616822177146721,0.0353809689407161,0.605172413793103,-0.0256659905341442,aneuploidy__CESC__Genome_doubling,2,models/aneuploidy__CESC__Genome_doubling.rds,03a1675ea2dc8554a2fde89ec3d74bb2ca8e186c95c897b43314645795682bdf,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260825,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.671815; 1=0.328185,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.421530031160107,0.464373318824786,0.719392571131896,0.328185328185328,17,34,54,111,5,4,5,1,19,0.654005567028823,0.807722007722008,0.606177606177606,"within-cancer screen-positive, documented screening tier B",balanced accuracy,0.593542934415145,-0.0116294793779577,29,TRUE,FALSE,FALSE,site-sensitive: below original documented screening threshold,Site-sensitivity warning: performance fell below the original documented screening threshold under TCGA tissue-source-site grouping.,TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,20,144,5,7,5,56,TRUE
aneuploidy,COAD,Aneuploidy score,aneuploidy,Taylor2018_TableS2,408,0.302055047119182,6.86188484173017,0.575056950114705,0.001,999,0,6,20261342,0.3,cpu,rsvd,32,5,999,FALSE,0.0015,0.01,B,0.276198768592294,0.0275269473508258,0.265948331874689,0.253446864777153,0.295780890707081,0.251806626242951,0.314011129359594,5,1,6.96276549385232,0.132967911865572,0.563008189051605,0.0198351847285812,5,0.302055047119182,6.86188484173017,0.575056950114705,-0.0258562785268884,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,continuous,,,,,,,,,,,,,,,,,,,,,,aneuploidy__COAD__Aneuploidy_score,7,models/aneuploidy__COAD__Aneuploidy_score.rds,86fb531a31efe802ca2fc5a74c0bdb3ff9a12ff7ed6dec2574ccf4b274747b18,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,PLS regression in source endpoint units,FALSE,none,source endpoint units,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260818,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,"","",not evaluated,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",,,,,,,,,,,,,,,,,"within-cancer screen-positive, documented screening tier B",Q2,0.22229555791,-0.0797594892091825,24,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,23,190,4,5,,,TRUE
aneuploidy,COAD,Deleted arm count,aneuploidy,Taylor2018_TableS2,408,0.216712777527587,5.68483499853421,0.574811359196073,0.001,999,0,5,20261343,0.3,cpu,rsvd,32,5,999,FALSE,0.0015,0.01,B,0.192527648065937,0.021081131223067,0.191523899232634,0.175243926029649,0.200436962344977,0.171625429958437,0.223808022763989,2,0.4,5.75538073910523,0.0753656771192345,0.558143435067826,0.0134090382484342,5,0.216712777527587,5.68483499853421,0.574811359196073,-0.0241851294616498,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,continuous,,,,,,,,,,,,,,,,,,,,,,aneuploidy__COAD__Deleted_arm_count,7,models/aneuploidy__COAD__Deleted_arm_count.rds,6fb8ada214ead313309075e36975dc29fa3d2f4e721520f532edf606dccf065a,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,PLS regression in source endpoint units,FALSE,none,source endpoint units,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260821,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,"","",not evaluated,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",,,,,,,,,,,,,,,,,"within-cancer screen-positive, documented screening tier B",Q2,0.119434237316051,-0.0972785402115358,24,TRUE,FALSE,FALSE,site-sensitive: below original documented screening threshold,Site-sensitivity warning: performance fell below the original documented screening threshold under TCGA tissue-source-site grouping.,TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,17,170,4,5,,,TRUE
aneuploidy,COAD,Genome doubling,aneuploidy,Taylor2018_TableS2,408,,,,0.001,999,0,6,20260829,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,165,243,0.665282454171343,0.330564908342686,0.633939393939394,0.0282972546180093,0.739094650205761,0.0166145096610589,0.686517022072578,0.0111036326628562,0.687691732136177,0.677515899738122,0.694388327721661,0.673288439955107,0.699700710811822,5,1,0.735433345803716,0.0212282503331901,0.665282454171343,0.0212345679012348,aneuploidy__COAD__Genome_doubling,7,models/aneuploidy__COAD__Genome_doubling.rds,301a83906eee16fa20f710ccb5d25fbb4d1cfd67782df322f7674c4fa76024ac,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260821,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.595588; 1=0.404412,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.64375352124752,0.62275240530995,0.748588694587147,0.404411764705882,33,48,105,155,8,7,11,2,16,0.759722421976125,0.828921568627451,0.642156862745098,"within-cancer screen-positive, documented screening tier B",balanced accuracy,0.694837261503928,0.0295548073325852,24,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,30,168,4,5,14,61,TRUE
aneuploidy,HNSC,Genome doubling,aneuploidy,Taylor2018_TableS2,435,,,,0.001,999,0,3,20260832,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,176,259,0.601351351351351,0.202702702702703,0.511363636363636,0.0230796545586246,0.745945945945946,0.0162437714038323,0.628654791154791,0.00901212852644569,0.628049315549316,0.619855651105651,0.637701825201825,0.619745963495963,0.637921200421201,5,1,0.658709196209196,0.0100246626402736,0.601351351351351,0.0273034398034402,aneuploidy__HNSC__Genome_doubling,3,models/aneuploidy__HNSC__Genome_doubling.rds,1022818ae66890d8007c3fcfaaa1f9b94f4e9ed5100794e6ca31640641f71f31,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260827,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.595402; 1=0.404598,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.555699119846611,0.577818851457785,0.692080860846613,0.404597701149425,35,51,112,165,4,4,6,2,19,0.715585891998828,0.831264367816092,0.659770114942529,"within-cancer screen-positive, documented screening tier B",balanced accuracy,0.611113548613549,0.00976219726219762,26,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,38,156,4,6,14,69,TRUE
aneuploidy,LUAD,Genome doubling,aneuploidy,Taylor2018_TableS2,449,,,,0.001,999,0,2,20260817,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,,,,,,,,,,,,,,5,,,,,initial nested-CV screening estimate,mean of five independently seeded nested-CV repeats,binary,264,185,0.653675266175266,0.307350532350532,0.787121212121212,0.0251829850584768,0.517837837837838,0.0287046876699495,0.652479524979525,0.0226377446006276,0.662039312039312,0.638523751023751,0.66476248976249,0.620413595413595,0.676658476658477,5,1,0.710184275184275,0.020875293042513,0.653675266175266,-0.00119574119574095,aneuploidy__LUAD__Genome_doubling,3,models/aneuploidy__LUAD__Genome_doubling.rds,7f712dfa4d44da8d1d880d630a16c0cba43de5abd975f6e810e049c616842ac8,TCGA,arithmetic mean across all primary-tumour diagnostic slides,768,none,d3d91fb0f83a6de440eda5ff437a63e3ca13f50095e6841fb8efcc40e58763f0,87db12d75e442e8fcd72bbdef99be42ed7d4658e989a84c7f6dbdf21575494fc,fitted PLS-LDA class; score > 0 favours class 1; score is not calibrated,FALSE,none,class label and uncalibrated LDA score,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,cpu,rsvd,32,5,20260822,066e9ce0c302ac0913b97dfa201e36a4706604c22da9ca2703219356988d21e8,0=wild type/negative; 1=altered/positive,0=0.412027; 1=0.587973,not evaluated; LDA score is not a calibrated probability,Research use only; TCGA discovery model without external validation,local artifact; public release requires upstream permission,standard_internal_evidence,TRUE,"",0.757463930159841,0.699673056725505,0.630750308705993,0.587973273942094,52,37,168,118,2,2,4,1,8,0.839145415738679,0.853006681514477,0.692650334075724,"within-cancer screen-positive, documented screening tier B",balanced accuracy,0.678255528255528,0.0245802620802623,33,TRUE,TRUE,FALSE,retained original documented screening threshold,"",TCGA tissue-source-site-grouped internal validation; not institutional or scanner-level external validation,5,61,118,5,7,38,71,TRUE
