outcome_type,family,tumor_type,endpoint,n,n_sites,original_metric,site_grouped_metric,delta,retention_threshold,retained_effect,near_chance_or_worse,feasible,outer_site_overlap,seed,backend,svd_method,rsvd_oversample,rsvd_power,retention_definition
continuous,thorsson,UVM,Th2 Cells,80,6,0.238349924517004,-0.69460549708157,-0.932955421598574,0.2,FALSE,TRUE,TRUE,FALSE,20261536,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,GBM,Th2 Cells,96,10,0.240941427401161,-0.202822829741816,-0.443764257142977,0.2,FALSE,TRUE,TRUE,FALSE,20261532,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,THYM,HALLMARK_UV_RESPONSE_DN,117,19,0.239416545527734,-0.200567389871033,-0.439983935398767,0.2,FALSE,TRUE,TRUE,FALSE,20261237,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,OV,HALLMARK_TNFA_SIGNALING_VIA_NFKB,69,10,0.237082163152103,-0.12537661726578,-0.362458780417883,0.2,FALSE,TRUE,TRUE,FALSE,20261247,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,COAD,Leukocyte Fraction,419,24,0.207599477369484,-0.110234487157135,-0.317833964526619,0.2,FALSE,TRUE,TRUE,FALSE,20261574,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,KICH,Fraction Altered,65,4,0.310262922047252,-0.0983860038785425,-0.408648925925794,0.2,FALSE,TRUE,TRUE,FALSE,20261471,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,149,15,0.476094551497551,-0.0952715140788456,-0.571366065576397,0.2,FALSE,TRUE,TRUE,FALSE,20260877,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PAAD,HALLMARK_HYPOXIA,176,26,0.301669639310734,-0.0832899985483648,-0.384959637859099,0.2,FALSE,TRUE,TRUE,FALSE,20261100,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,OV,HALLMARK_P53_PATHWAY,69,10,0.215989258304501,-0.0680998748706374,-0.284089133175138,0.2,FALSE,TRUE,TRUE,FALSE,20261306,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,ACC,HALLMARK_G2M_CHECKPOINT,55,5,0.420450611782487,-0.0680307478724975,-0.488481359654985,0.2,FALSE,TRUE,TRUE,FALSE,20260920,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCS,HALLMARK_APICAL_SURFACE,53,10,0.209124152283007,-0.0565358326616061,-0.265659984944613,0.2,FALSE,TRUE,TRUE,FALSE,20261333,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PAAD,HALLMARK_ANDROGEN_RESPONSE,176,26,0.33331530555605,-0.0547472351876943,-0.388062540743744,0.2,FALSE,TRUE,TRUE,FALSE,20261040,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,OV,HALLMARK_IL6_JAK_STAT3_SIGNALING,69,10,0.216772566247635,-0.0425506451934736,-0.259323211441109,0.2,FALSE,TRUE,TRUE,FALSE,20261305,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,COAD,Macrophage Regulation,417,24,0.225670301262412,-0.0254595224106058,-0.251129823673018,0.2,FALSE,TRUE,TRUE,FALSE,20261554,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,OV,HALLMARK_IL2_STAT5_SIGNALING,69,10,0.247865837321947,-0.0169227935666654,-0.264788630888612,0.2,FALSE,TRUE,TRUE,FALSE,20261218,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,ACC,HALLMARK_E2F_TARGETS,55,5,0.246970527419622,-0.0157575167218862,-0.262728044141508,0.2,FALSE,TRUE,TRUE,FALSE,20261221,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,COAD,Nonsilent Mutation Rate,345,24,0.274905591897468,-0.00621045436814427,-0.281116046265612,0.2,FALSE,TRUE,TRUE,FALSE,20261500,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,COAD,Silent Mutation Rate,345,24,0.25902289763587,-0.00367956876253994,-0.26270246639841,0.2,FALSE,TRUE,TRUE,FALSE,20261518,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCS,HALLMARK_ESTROGEN_RESPONSE_EARLY,53,10,0.210833282604044,0.00417164859711927,-0.206661634006925,0.2,FALSE,FALSE,TRUE,FALSE,20261327,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
