outcome_type,family,tumor_type,endpoint,outer_fold,test_patients,test_sites,test_site_ids,test_positive,test_negative,training_patients,training_sites,training_positive,training_negative,inner_folds,minimum_sites_per_inner_fold,maximum_inner_folds_per_site,inner_site_overlap,outer_seed,inner_seed
binary,aneuploidy,BLCA,Genome doubling,1,115,8,BT;CF;E5;E7;H4;LC;UY;ZF,65,50,261,25,163,98,5,4,1,FALSE,20260818,20261819
binary,aneuploidy,BLCA,Genome doubling,2,37,7,2F;4Z;CU;FT;SY;YC;YF,25,12,339,26,203,136,5,5,1,FALSE,20260818,20261820
binary,aneuploidy,BLCA,Genome doubling,3,103,6,C4;DK;FD;GV;HQ;S5,66,37,273,27,162,111,5,5,1,FALSE,20260818,20261821
binary,aneuploidy,BLCA,Genome doubling,4,36,6,5N;G2;GC;GD;LT;PQ,19,17,340,27,209,131,5,5,1,FALSE,20260818,20261822
binary,aneuploidy,BLCA,Genome doubling,5,85,6,BL;FJ;GU;K4;MV;XF,53,32,291,27,175,116,5,5,1,FALSE,20260818,20261823
binary,aneuploidy,BRCA,Genome doubling,1,232,8,AQ;B6;BH;EW;MS;OK;PE;UU,101,131,766,31,337,429,5,6,1,FALSE,20260817,20261818
binary,aneuploidy,BRCA,Genome doubling,2,270,8,5L;5T;A2;A7;AO;D8;GI;OL,105,165,728,31,333,395,5,6,1,FALSE,20260817,20261819
binary,aneuploidy,BRCA,Genome doubling,3,172,8,A1;A8;AR;HN;PL;S3;XX;Z7,79,93,826,31,359,467,5,6,1,FALSE,20260817,20261820
binary,aneuploidy,BRCA,Genome doubling,4,203,8,3C;AN;E2;E9;JL;LL;LQ;WT,101,102,795,31,337,458,5,6,1,FALSE,20260817,20261821
binary,aneuploidy,BRCA,Genome doubling,5,121,7,4H;AC;C8;GM;LD;UL;W8,52,69,877,32,386,491,5,6,1,FALSE,20260817,20261822
binary,aneuploidy,CESC,Genome doubling,1,144,7,BI;C5;DS;JX;MU;VS;ZJ,56,88,115,22,29,86,5,4,1,FALSE,20260825,20261826
binary,aneuploidy,CESC,Genome doubling,2,27,7,4J;GH;HM;JW;LP;MA;RA,5,22,232,22,80,152,5,4,1,FALSE,20260825,20261827
binary,aneuploidy,CESC,Genome doubling,3,21,5,DG;EX;HG;MY;UC,6,15,238,24,79,159,5,4,1,FALSE,20260825,20261828
binary,aneuploidy,CESC,Genome doubling,4,20,5,DR;FU;WL;XS;ZX,6,14,239,24,79,160,5,4,1,FALSE,20260825,20261829
binary,aneuploidy,CESC,Genome doubling,5,47,5,2W;EA;IR;PN;Q1,12,35,212,24,73,139,5,4,1,FALSE,20260825,20261830
binary,aneuploidy,COAD,Genome doubling,1,49,5,4N;AZ;F4;NH;QG,18,31,359,19,147,212,5,3,1,FALSE,20260821,20261822
binary,aneuploidy,COAD,Genome doubling,2,82,5,4T;AD;CM;D5;T9,40,42,326,19,125,201,5,3,1,FALSE,20260821,20261823
binary,aneuploidy,COAD,Genome doubling,3,168,5,3L;AA;AU;G4;QL,61,107,240,19,104,136,5,3,1,FALSE,20260821,20261824
binary,aneuploidy,COAD,Genome doubling,4,30,5,5M;AM;CA;CK;SS,14,16,378,19,151,227,5,3,1,FALSE,20260821,20261825
binary,aneuploidy,COAD,Genome doubling,5,79,4,A6;AY;DM;WS,32,47,329,20,133,196,5,3,1,FALSE,20260821,20261826
binary,aneuploidy,HNSC,Genome doubling,1,156,6,CV;DQ;H7;HL;KU;T2,69,87,279,20,107,172,5,3,1,FALSE,20260827,20261828
binary,aneuploidy,HNSC,Genome doubling,2,38,6,CX;F7;MZ;P3;RS;T3,14,24,397,20,162,235,5,3,1,FALSE,20260827,20261829
binary,aneuploidy,HNSC,Genome doubling,3,120,5,BA;BB;CN;MT;TN,52,68,315,21,124,191,5,3,1,FALSE,20260827,20261830
binary,aneuploidy,HNSC,Genome doubling,4,72,5,4P;C9;CQ;D6;HD,20,52,363,21,156,207,5,3,1,FALSE,20260827,20261831
binary,aneuploidy,HNSC,Genome doubling,5,49,4,IQ;QK;UF;WA,21,28,386,22,155,231,5,3,1,FALSE,20260827,20261832
binary,aneuploidy,LUAD,Genome doubling,1,76,7,05;69;80;83;95;97;O1,46,30,373,26,218,155,5,5,1,FALSE,20260822,20261823
binary,aneuploidy,LUAD,Genome doubling,2,86,7,35;67;75;78;J2;MP;NJ,47,39,363,26,217,146,5,5,1,FALSE,20260822,20261824
binary,aneuploidy,LUAD,Genome doubling,3,118,7,53;55;62;93;99;L4;MN,71,47,331,26,193,138,5,5,1,FALSE,20260822,20261825
binary,aneuploidy,LUAD,Genome doubling,4,108,7,38;44;4B;64;86;L9;S2,62,46,341,26,202,139,5,5,1,FALSE,20260822,20261826
binary,aneuploidy,LUAD,Genome doubling,5,61,5,49;50;71;73;91,38,23,388,28,226,162,5,5,1,FALSE,20260822,20261827
binary,aneuploidy,LUSC,Genome doubling,1,103,7,22;43;56;6A;90;MF;XC,53,50,356,28,196,160,5,5,1,FALSE,20260824,20261825
binary,aneuploidy,LUSC,Genome doubling,2,116,7,21;33;34;52;85;98;NK,68,48,343,28,181,162,5,5,1,FALSE,20260824,20261826
binary,aneuploidy,LUSC,Genome doubling,3,116,7,39;58;66;77;92;96;O2,56,60,343,28,193,150,5,5,1,FALSE,20260824,20261827
binary,aneuploidy,LUSC,Genome doubling,4,78,7,37;51;60;63;68;94;J1,44,34,381,28,205,176,5,5,1,FALSE,20260824,20261828
binary,aneuploidy,LUSC,Genome doubling,5,46,7,18;46;70;79;L3;LA;NC,28,18,413,28,221,192,5,5,1,FALSE,20260824,20261829
binary,aneuploidy,OV,Genome doubling,1,74,3,23;25;5X,52,22,22,8,14,8,5,1,1,FALSE,20260820,20261821
binary,aneuploidy,OV,Genome doubling,2,5,3,13;OY;WR,4,1,91,8,62,29,5,1,1,FALSE,20260820,20261822
binary,aneuploidy,OV,Genome doubling,3,2,2,59;VG,1,1,94,9,65,29,5,1,1,FALSE,20260820,20261823
binary,aneuploidy,OV,Genome doubling,4,8,2,3P;42,3,5,88,9,63,25,5,1,1,FALSE,20260820,20261824
binary,aneuploidy,OV,Genome doubling,5,7,1,57,6,1,89,10,60,29,5,1,1,FALSE,20260820,20261825
binary,aneuploidy,PCPG,Genome doubling,1,63,4,QR;S7;SP;SR,13,50,94,13,11,83,5,2,1,FALSE,20260826,20261827
binary,aneuploidy,PCPG,Genome doubling,2,15,4,P8;SA;SQ;W2,2,13,142,13,22,120,5,2,1,FALSE,20260826,20261828
binary,aneuploidy,PCPG,Genome doubling,3,47,3,PR;QT;WB,4,43,110,14,20,90,5,2,1,FALSE,20260826,20261829
binary,aneuploidy,PCPG,Genome doubling,4,6,3,RM;RT;RX,1,5,151,14,23,128,5,2,1,FALSE,20260826,20261830
binary,aneuploidy,PCPG,Genome doubling,5,26,3,P7;RW;TT,4,22,131,14,20,111,5,2,1,FALSE,20260826,20261831
binary,aneuploidy,SARC,Genome doubling,1,143,8,DX;FX;JV;LI;MB;SI;UE;WK,65,78,95,25,47,48,5,4,1,FALSE,20260823,20261824
binary,aneuploidy,SARC,Genome doubling,2,18,7,3R;HS;IF;MJ;PC;QC;Z4,8,10,220,26,104,116,5,4,1,FALSE,20260823,20261825
binary,aneuploidy,SARC,Genome doubling,3,26,6,HB;IS;KF;MO;VT;X6,12,14,212,27,100,112,5,4,1,FALSE,20260823,20261826
binary,aneuploidy,SARC,Genome doubling,4,20,6,IW;K1;KD;N1;QQ;WP,10,10,218,27,102,116,5,4,1,FALSE,20260823,20261827
binary,aneuploidy,SARC,Genome doubling,5,31,6,3B;IE;RN;SG;X2;X9,17,14,207,27,95,112,5,4,1,FALSE,20260823,20261828
binary,aneuploidy,STAD,Genome doubling,1,163,5,BR;D7;EQ;IP;KB,61,102,197,17,93,104,5,3,1,FALSE,20260819,20261820
binary,aneuploidy,STAD,Genome doubling,2,7,5,3M;B7;HJ;SW;ZA,3,4,353,17,151,202,5,3,1,FALSE,20260819,20261821
binary,aneuploidy,STAD,Genome doubling,3,33,4,CG;F1;HF;ZQ,11,22,327,18,143,184,5,3,1,FALSE,20260819,20261822
binary,aneuploidy,STAD,Genome doubling,4,67,4,CD;HU;IN;R5,33,34,293,18,121,172,5,3,1,FALSE,20260819,20261823
binary,aneuploidy,STAD,Genome doubling,5,90,4,FP;MX;RD;VQ,46,44,270,18,108,162,5,3,1,FALSE,20260819,20261824
binary,aneuploidy,UCEC,Genome doubling,1,177,7,5B;AP;AX;B5;BG;E6;EC,27,150,300,22,70,230,5,4,1,FALSE,20260816,20261817
binary,aneuploidy,UCEC,Genome doubling,2,67,7,AW;BK;DI;EY;H5;QS;SL,19,48,410,22,78,332,5,4,1,FALSE,20260816,20261818
binary,aneuploidy,UCEC,Genome doubling,3,36,5,5S;BS;DF;K6;QF,7,29,441,24,90,351,5,4,1,FALSE,20260816,20261819
binary,aneuploidy,UCEC,Genome doubling,4,153,5,2E;A5;D1;EO;FI,31,122,324,24,66,258,5,4,1,FALSE,20260816,20261820
binary,aneuploidy,UCEC,Genome doubling,5,44,5,4E;AJ;JU;PG;SJ,13,31,433,24,84,349,5,4,1,FALSE,20260816,20261821
binary,driver_mutation,BLCA,FGFR3,1,31,7,E5;G2;GD;MV;S5;YC;YF,2,29,353,26,52,301,5,4,1,FALSE,20260844,20261845
binary,driver_mutation,BLCA,FGFR3,2,53,7,2F;4Z;C4;GC;GV;H4;LC,9,44,331,26,45,286,5,4,1,FALSE,20260844,20261846
binary,driver_mutation,BLCA,FGFR3,3,117,7,CU;E7;FD;GU;K4;PQ;UY,14,103,267,26,40,227,5,4,1,FALSE,20260844,20261847
binary,driver_mutation,BLCA,FGFR3,4,101,7,BL;BT;DK;FT;HQ;SY;ZF,12,89,283,26,42,241,5,4,1,FALSE,20260844,20261848
binary,driver_mutation,BLCA,FGFR3,5,82,5,5N;CF;FJ;LT;XF,17,65,302,28,37,265,5,4,1,FALSE,20260844,20261849
binary,driver_mutation,BLCA,TP53,1,66,7,5N;FT;G2;K4;PQ;S5;ZF,43,23,318,26,142,176,5,5,1,FALSE,20260860,20261861
binary,driver_mutation,BLCA,TP53,2,77,7,2F;BT;C4;CF;CU;LC;UY,30,47,307,26,155,152,5,5,1,FALSE,20260860,20261862
