tumor_type,patients,eligible_slides,exact_report_matched_slides,unmatched_slides,patients_with_exact_report_match
,9,12,0,12,0
ACC,56,227,221,6,54
BLCA,386,457,424,33,353
BRCA,1054,1125,1062,63,992
CESC,269,279,260,19,251
CHOL,39,39,37,2,37
COAD,433,440,402,38,395
DLBC,44,44,43,1,43
ESCA,156,158,118,40,117
GBM,384,852,521,331,244
HNSC,450,472,464,8,442
KICH,108,108,108,0,108
KIRC,513,518,504,14,501
KIRP,273,297,284,13,262
LGG,490,833,784,49,444
LIHC,364,372,336,36,328
LUAD,468,530,500,30,438
LUSC,477,511,476,35,442
MESO,75,87,79,8,67
OV,106,107,63,44,62
PAAD,183,203,191,12,174
PCPG,176,194,187,7,171
PRAD,402,448,406,42,368
READ,156,157,150,7,149
SARC,254,600,571,29,243
SKCM,292,305,105,200,96
STAD,374,399,321,78,296
TGCT,149,245,119,126,87
THCA,505,518,493,25,485
THYM,121,180,167,13,113
UCEC,505,565,562,3,503
UCS,53,87,83,4,52
UVM,80,80,65,15,65
