outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Broad race,Asian,11,6,5,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Broad race,Black or African American,54,42,12,FALSE,fewer than 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Broad race,Missing,118,5,113,FALSE,demographic field missing,,,,,,,,
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Broad race,Other recorded race,1,0,1,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Broad race,White,198,143,55,TRUE,performance estimated,,,,0.92027972027972,0.232727272727273,0.576503496503497,0.678448823903369,0.837241825110304
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Recorded sex,FEMALE,190,95,95,TRUE,performance estimated,,,,0.892631578947369,0.703157894736842,0.797894736842105,0.861141274238227,0.849667003380188
binary,driver_mutation,COAD,APC,TRUE,382,TRUE,Recorded sex,MALE,192,101,91,TRUE,performance estimated,,,,0.873267326732673,0.705494505494506,0.789380916113589,0.843869002284844,0.803350369663594
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Broad race,Asian,7,2,5,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Broad race,Black or African American,20,2,18,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Broad race,Missing,10,3,7,FALSE,demographic field missing,,,,,,,,
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Broad race,Other recorded race,1,0,1,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Broad race,White,447,98,349,TRUE,performance estimated,,,,0.606122448979592,0.897994269340974,0.752058359160283,0.875194433074089,0.627769634839771
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Recorded sex,FEMALE,216,53,163,TRUE,performance estimated,,,,0.592452830188679,0.896932515337423,0.744692672763051,0.859474476212525,0.673236683824286
binary,driver_mutation,LGG,CIC,TRUE,485,TRUE,Recorded sex,MALE,269,52,217,TRUE,performance estimated,,,,0.669230769230769,0.883870967741935,0.776550868486353,0.891084721729883,0.580591805055088
binary,driver_mutation,LGG,IDH1,TRUE,485,TRUE,Broad race,Asian,7,5,2,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
