cancer,gene,evidence_class,prior_study,prior_scope,prior_result,source_url,audit_note,n,positive,current_balanced_accuracy,current_q,current_tier
THYM,GTF2I,not identified in reviewed predictive literature,None identified,exact cancer,No H&E predictive model identified in the reviewed literature,https://pubmed.ncbi.nlm.nih.gov/35039450/,A morphology-genotype association is established but this is not a prior predictive-model result,120,59,0.90025006946374,0.001,A
READ,APC,previously supported in reviewed predictive literature,Kather2020,pooled colorectal,AUROC 0.673 [0.664-0.690]; FDR q=1.51e-10,https://doi.org/10.1038/s43018-020-0087-6,COAD and READ were pooled in the prior study; Arslan2024 exact-READ result was not FDR-significant,135,65,0.862087912087912,0.0015,A
LGG,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.842 [0.810-0.859]; corrected p=5.892e-40,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,232,0.854683453727682,0.00185714285714286,A
THCA,BRAF,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.854 [0.850-0.856]; corrected p=5.440e-41,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,490,289,0.844264834994577,0.001,A
READ,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.743 [0.680-0.777]; corrected p=5.384e-05,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,135,66,0.838603425559947,0.0015,A
LGG,CIC,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.836 [0.790-0.867]; corrected p=5.057e-27,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,105,0.785964912280702,0.00185714285714286,A
LGG,IDH1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.740 [0.705-0.759]; corrected p=1.677e-12,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,375,0.781636363636364,0.00185714285714286,A
COAD,APC,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.636 [0.624-0.653]; corrected p=0.0008781,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,382,196,0.776936581084047,0.00433333333333333,A
LGG,ATRX,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.816 [0.789-0.858]; corrected p=1.183e-31,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,181,0.769709581273626,0.00185714285714286,A
COAD,TP53,previously supported in reviewed predictive literature,Kather2020,pooled colorectal,AUROC 0.661 [0.639-0.677]; FDR q=1.15e-9,https://doi.org/10.1038/s43018-020-0087-6,COAD and READ were pooled in the prior study; Arslan2024 exact-COAD result was not FDR-significant,382,161,0.767446108878334,0.00433333333333333,A
UCEC,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.771 [0.757-0.788]; corrected p=1.176e-20,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,487,155,0.750728721336961,0.0096,A
