tumor_type,cohort_patients,cdr_matched,cdr_missing,concordant_cancer_labels,discordant_cancer_labels
ACC,56,56,0,56,0
BLCA,386,386,0,386,0
BRCA,1054,1054,0,1054,0
CESC,269,269,0,269,0
CHOL,39,39,0,39,0
COAD,433,432,1,432,0
DLBC,44,44,0,44,0
ESCA,156,156,0,156,0
GBM,384,384,0,384,0
HNSC,450,450,0,450,0
KICH,108,108,0,108,0
KIRC,513,513,0,513,0
KIRP,273,273,0,273,0
LGG,490,489,1,489,0
LIHC,364,364,0,364,0
LUAD,468,468,0,468,0
LUSC,477,477,0,477,0
MESO,75,75,0,75,0
OV,106,106,0,106,0
PAAD,183,183,0,183,0
PCPG,176,176,0,176,0
PRAD,402,402,0,402,0
READ,156,155,1,155,0
SARC,254,254,0,254,0
SKCM,292,292,0,292,0
STAD,374,374,0,374,0
TGCT,149,133,16,133,0
THCA,505,505,0,505,0
THYM,121,121,0,121,0
UCEC,505,505,0,505,0
UCS,53,53,0,53,0
UVM,80,80,0,80,0
Unresolved,9,9,0,0,0
