outcome_type,family,tumor_type,endpoint,n,n_codes,grouped_metric,matched_random_metric,grouped_minus_matched,paired_ci_low,paired_ci_high,bootstrap_resamples,code_only_metric,code_heterogeneity,code_heterogeneity_minimum5,minimum_prevalence_minimum5,maximum_prevalence_minimum5,codes_with_minimum5,minimum_code_n,maximum_code_n,heterogeneity_definition,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_components_median,matched_components_median,seed
binary,aneuploidy,BLCA,Genome doubling,376,33,0.659791370317686,0.680535798956852,-0.0207444286391655,-0.060547116873065,0.0212910127646218,1000,0.624496206733049,1,0.615384615384615,0.307692307692308,0.923076923076923,19,1,50,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,4,20260818
binary,aneuploidy,BRCA,Genome doubling,998,39,0.709813274624918,0.697460045662101,0.0123532289628179,-0.00882082802430029,0.0343800097508069,1000,0.519420662100457,1,0.492063492063492,0.222222222222222,0.714285714285714,20,1,130,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,4,20260817
binary,aneuploidy,CESC,Genome doubling,259,29,0.565212981744422,0.570554428668019,-0.00534144692359706,-0.0697636851274528,0.0513573296632639,1000,0.477518593644354,1,0.4375,0,0.4375,13,1,58,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,7,5,20260825
binary,aneuploidy,COAD,Genome doubling,408,24,0.651290684624018,0.685634118967452,-0.0343434343434343,-0.082957253985285,0.0155645868406285,1000,0.530564908342686,1,0.449275362318841,0.217391304347826,0.666666666666667,14,1,140,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,6,20260821
binary,aneuploidy,HNSC,Genome doubling,435,26,0.612133643383643,0.5998595998596,0.0122740435240436,-0.0363578528505253,0.0570242626437794,1000,0.500614250614251,1,0.471794871794872,0.0666666666666667,0.538461538461538,14,1,131,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,6,20260827
binary,aneuploidy,LUAD,Genome doubling,449,33,0.681234643734644,0.658527846027846,0.0227067977067976,-0.0156754166174996,0.062596414541022,1000,0.522194922194922,1,0.634920634920635,0.222222222222222,0.857142857142857,22,1,88,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,4,20260822
binary,aneuploidy,LUSC,Genome doubling,459,35,0.61144578313253,0.613539873780838,-0.00209409064830746,-0.0388519921381689,0.0356786279060214,1000,0.46679097341748,1,0.769230769230769,0,0.769230769230769,24,1,50,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,4,20260824
binary,aneuploidy,OV,Genome doubling,96,11,0.712121212121212,0.645454545454546,0.0666666666666667,-0.0486241211745245,0.192464205623598,1000,0.56969696969697,1,0.571428571428571,0.285714285714286,0.857142857142857,4,1,40,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,4,20260820
binary,aneuploidy,PCPG,Genome doubling,157,17,0.602443609022556,0.595238095238095,0.00720551378446122,-0.111573399521099,0.140636123418566,1000,0.452067669172932,0.333333333333333,0.20952380952381,0.0571428571428571,0.266666666666667,9,1,35,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,15,20260826
binary,aneuploidy,SARC,Genome doubling,238,33,0.621031746031746,0.601190476190476,0.0198412698412699,-0.0427066675550818,0.0832386484081916,1000,0.41921768707483,1,0.466666666666667,0.2,0.666666666666667,10,1,112,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,2,20260823
binary,aneuploidy,STAD,Genome doubling,360,22,0.69275627285336,0.678193166057244,0.0145631067961165,-0.0276201101768557,0.0543990249719416,1000,0.533208296557811,1,0.5,0.2,0.7,12,1,113,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,6,20260819
binary,aneuploidy,UCEC,Genome doubling,477,29,0.733396635919696,0.733613673358654,-0.00021703743895829,-0.0530353439429872,0.0459350132625993,1000,0.575434074877916,1,0.361111111111111,0.0833333333333333,0.444444444444444,15,1,74,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,6,20260816
binary,driver_mutation,BLCA,FGFR3,384,33,0.701010101010101,0.687205387205387,0.0138047138047138,-0.0362281110272728,0.06548628669757,1000,0.679517396184063,0.5,0.5,0,0.5,20,1,51,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,6,20260844
binary,driver_mutation,BLCA,TP53,384,33,0.61540133097922,0.621187016161891,-0.00578568518267009,-0.0492270150475131,0.0399422326518446,1000,0.620738829281543,1,0.596969696969697,0.136363636363636,0.733333333333333,20,1,51,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,1,20260860
binary,driver_mutation,BRCA,CDH1,981,37,0.731603107344633,0.724823446327684,0.00677966101694905,-0.0289282135164002,0.0439882798164293,1000,0.634663370998117,1,0.6,0,0.6,21,1,138,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,5,20260842
binary,driver_mutation,BRCA,FOXA1,981,37,0.53099235496927,0.620278069254984,-0.0892857142857144,-0.171515461387434,-0.0185469459458644,1000,0.614656723129966,1,0.133333333333333,0,0.133333333333333,21,1,138,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,8,11,20260868
binary,driver_mutation,BRCA,PIK3CA,981,37,0.624641148325359,0.637233818812766,-0.0125926704874073,-0.0454298673660742,0.018758304734035,1000,0.55794994479205,1,0.5875,0.0125,0.6,21,1,138,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,10,13,20260852
binary,driver_mutation,BRCA,TP53,981,37,0.707440721291137,0.735957069059562,-0.0285163477684254,-0.0567635903302132,0.000682133364569795,1000,0.616201777559118,1,0.518112244897959,0.0125,0.530612244897959,21,1,138,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,9,20260840
binary,driver_mutation,CESC,TP53,252,29,0.584415584415584,0.534632034632035,0.0497835497835498,-0.0345150862068965,0.149413488094587,1000,0.531642960214389,1,0.222222222222222,0,0.222222222222222,13,1,57,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,10,20260858
binary,driver_mutation,COAD,APC,382,24,0.53768926925609,0.751014922097872,-0.213325652841782,-0.262967145084373,-0.163046722547038,1000,0.754663155584815,1,0.914148857774503,0.0423728813559322,0.956521739130435,14,1,118,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,2,20260835
binary,driver_mutation,COAD,KRAS,382,24,0.659257192460317,0.650638640873016,0.00861855158730163,-0.04423766288668,0.0622328578758387,1000,0.759626116071429,1,0.765659543109801,0.0169491525423729,0.782608695652174,14,1,118,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,11,20260846
binary,driver_mutation,COAD,TP53,382,24,0.654014783170793,0.76150192518479,-0.107487142013996,-0.148597992287622,-0.0653578600721587,1000,0.756752199207442,1,0.791525423728814,0.00847457627118644,0.8,14,1,118,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,2,20260837
binary,driver_mutation,HNSC,NSD1,431,25,0.65265737874097,0.567776057791538,0.0848813209494325,0.0153698609521178,0.153440985638259,1000,0.47546439628483,0.333333333333333,0.222222222222222,0,0.222222222222222,15,1,132,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,9,9,20260850
binary,driver_mutation,HNSC,TP53,431,25,0.640019707207207,0.626506193693694,0.0135135135135135,-0.0247950418180044,0.0530529441468686,1000,0.515273085585586,0.75,0.596638655462185,0.285714285714286,0.882352941176471,15,1,132,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,7,7,20260848
binary,driver_mutation,KIRC,SETD2,353,18,0.564733694896398,0.497635933806147,0.0670977610902518,0.008049102327015,0.131392827227191,1000,0.467737449589765,0.25,0.123214285714286,0.0625,0.185714285714286,10,1,77,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,13,20260859
binary,driver_mutation,KIRC,VHL,353,18,0.513360507246377,0.590903209109731,-0.077542701863354,-0.133054461136898,-0.01969386029413,1000,0.478115295031056,1,0.331168831168831,0.214285714285714,0.545454545454545,10,1,77,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,1,1,20260869
binary,driver_mutation,LGG,ATRX,485,25,0.779050959581274,0.776879179994184,0.00217177958708925,-0.0250061297114657,0.0302991037545988,1000,0.445778205873801,1,0.571428571428571,0.142857142857143,0.714285714285714,16,1,102,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,3,20260836
binary,driver_mutation,LGG,CIC,485,25,0.726002506265664,0.768233082706767,-0.0422305764411027,-0.0885330927148928,0.00330146839935874,1000,0.501992481203008,1,0.380952380952381,0,0.380952380952381,16,1,102,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,5,20260833
binary,driver_mutation,LGG,EGFR,485,25,0.708686578844398,0.655406286683188,0.0532802921612104,-0.0374880952380952,0.144880600728096,1000,0.614484152862919,0.5,0.210526315789474,0,0.210526315789474,16,1,102,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260849
