tumor_type,repeat,patients,sites,macro_balanced_accuracy,macro_f1,accuracy,chance_macro_balanced_accuracy,normalized_macro_balanced_accuracy,selected_components_median,seed,backend,svd_method,rsvd_oversample,rsvd_power
BLCA,1,324,14,0.50778709544127,0.514475265116912,0.567901234567901,0.0714285714285714,0.469924564321368,19,20760817,cpu,rsvd,32,5
BLCA,2,324,14,0.504437259430144,0.514593062331063,0.577160493827161,0.0714285714285714,0.466317048617078,19,20760818,cpu,rsvd,32,5
BLCA,3,324,14,0.538067933107239,0.548784080185995,0.604938271604938,0.0714285714285714,0.502534697192411,20,20760819,cpu,rsvd,32,5
BLCA,4,324,14,0.532342555455188,0.537723628185383,0.604938271604938,0.0714285714285714,0.496368905874817,19,20760820,cpu,rsvd,32,5
BLCA,5,324,14,0.558498561370275,0.563320161333735,0.623456790123457,0.0714285714285714,0.524536912244911,20,20760821,cpu,rsvd,32,5
BRCA,1,1010,19,0.561185243927167,0.563218864418161,0.685148514851485,0.0526315789473684,0.536806646367565,20,20760818,cpu,rsvd,32,5
BRCA,2,1010,19,0.558294046371741,0.556011575749745,0.676237623762376,0.0526315789473684,0.533754826725726,20,20760819,cpu,rsvd,32,5
BRCA,3,1010,19,0.554445021606273,0.559300397008071,0.676237623762376,0.0526315789473684,0.529691967251065,20,20760820,cpu,rsvd,32,5
BRCA,4,1010,19,0.576230476273889,0.579668481051682,0.692079207920792,0.0526315789473684,0.552687724955771,20,20760821,cpu,rsvd,32,5
BRCA,5,1010,19,0.579636046775111,0.580646754993135,0.697029702970297,0.0526315789473684,0.556282493818172,20,20760822,cpu,rsvd,32,5
CESC,1,194,7,0.69481350489415,0.687147934825551,0.768041237113402,0.142857142857143,0.643949089043175,19,20760819,cpu,rsvd,32,5
CESC,2,194,7,0.64615608405931,0.650003672138033,0.757731958762887,0.142857142857143,0.587182098069195,17,20760820,cpu,rsvd,32,5
CESC,3,194,7,0.646874720261817,0.644732694579345,0.77319587628866,0.142857142857143,0.58802050697212,19,20760821,cpu,rsvd,32,5
CESC,4,194,7,0.697490427732363,0.689530210920523,0.77319587628866,0.142857142857143,0.647072165687757,18,20760822,cpu,rsvd,32,5
CESC,5,194,7,0.68333970390422,0.677244936454451,0.762886597938144,0.142857142857143,0.630562987888257,17,20760823,cpu,rsvd,32,5
COAD,1,404,12,0.71934224104577,0.707017693177974,0.829207920792079,0.0833333333333333,0.693827899322658,20,20760821,cpu,rsvd,32,5
COAD,2,404,12,0.700424230293082,0.698389228752031,0.824257425742574,0.0833333333333333,0.673190069410635,20,20760822,cpu,rsvd,32,5
COAD,3,404,12,0.733957728439133,0.728604478294631,0.834158415841584,0.0833333333333333,0.709772067388145,20,20760823,cpu,rsvd,32,5
COAD,4,404,12,0.753637275748414,0.753151543298292,0.856435643564356,0.0833333333333333,0.731240664452815,20,20760824,cpu,rsvd,32,5
COAD,5,404,12,0.729870553330237,0.727095903746813,0.841584158415842,0.0833333333333333,0.705313330905713,19,20760825,cpu,rsvd,32,5
ESCA,1,132,7,0.894041422236911,0.895618416671048,0.909090909090909,0.142857142857143,0.876381659276396,19,20760823,cpu,rsvd,32,5
ESCA,2,132,7,0.904152551708943,0.901464134022273,0.916666666666667,0.142857142857143,0.888177976993766,15,20760824,cpu,rsvd,32,5
ESCA,3,132,7,0.872552259770305,0.87532754770363,0.893939393939394,0.142857142857143,0.851310969732022,18,20760825,cpu,rsvd,32,5
ESCA,4,132,7,0.895311768432069,0.893654962923256,0.909090909090909,0.142857142857143,0.877863729837414,20,20760826,cpu,rsvd,32,5
ESCA,5,132,7,0.909411234129279,0.909075014621233,0.924242424242424,0.142857142857143,0.894313106484159,17,20760827,cpu,rsvd,32,5
GBM,1,351,8,0.817793380017417,0.82686036014216,0.84045584045584,0.125,0.791763862877048,20,20760824,cpu,rsvd,32,5
GBM,2,351,8,0.813328940510734,0.822155408874562,0.834757834757835,0.125,0.786661646297981,20,20760825,cpu,rsvd,32,5
GBM,3,351,8,0.804183256937019,0.811474471995838,0.829059829059829,0.125,0.776209436499451,19,20760826,cpu,rsvd,32,5
GBM,4,351,8,0.825638949001521,0.824145493262717,0.834757834757835,0.125,0.80073022743031,19,20760827,cpu,rsvd,32,5
GBM,5,351,8,0.831022477306624,0.830432971762197,0.84045584045584,0.125,0.80688283120757,19,20760828,cpu,rsvd,32,5
HNSC,1,412,13,0.552990504785965,0.543767187892554,0.655339805825243,0.0769230769230769,0.515739713518129,18,20760825,cpu,rsvd,32,5
HNSC,2,412,13,0.564438209211287,0.566151328235963,0.674757281553398,0.0769230769230769,0.528141393312227,20,20760826,cpu,rsvd,32,5
HNSC,3,412,13,0.553431748542021,0.547961265749865,0.662621359223301,0.0769230769230769,0.516217727587189,20,20760827,cpu,rsvd,32,5
HNSC,4,412,13,0.573729597886843,0.572675431973075,0.684466019417476,0.0769230769230769,0.538207064377413,20,20760828,cpu,rsvd,32,5
HNSC,5,412,13,0.558165848095144,0.549466628962339,0.655339805825243,0.0769230769230769,0.521346335436406,20,20760829,cpu,rsvd,32,5
KICH,1,101,5,0.78952380952381,0.793871222907768,0.792079207920792,0.2,0.736904761904762,17,20760826,cpu,rsvd,32,5
KICH,2,101,5,0.782603174603175,0.780488473736808,0.772277227722772,0.2,0.728253968253968,16,20760827,cpu,rsvd,32,5
KICH,3,101,5,0.740365079365079,0.740648884245833,0.742574257425743,0.2,0.675456349206349,17,20760828,cpu,rsvd,32,5
KICH,4,101,5,0.75752380952381,0.753918367346939,0.762376237623762,0.2,0.696904761904762,18,20760829,cpu,rsvd,32,5
KICH,5,101,5,0.744809523809524,0.747287089892176,0.742574257425743,0.2,0.681011904761905,15,20760830,cpu,rsvd,32,5
KIRC,1,488,9,0.730772132210981,0.738606707185306,0.838114754098361,0.111111111111111,0.697118648737354,19,20760827,cpu,rsvd,32,5
KIRC,2,488,9,0.744156870307949,0.748875770665257,0.842213114754098,0.111111111111111,0.712176479096443,20,20760828,cpu,rsvd,32,5
KIRC,3,488,9,0.74927352157568,0.759228427753576,0.852459016393443,0.111111111111111,0.71793271177264,20,20760829,cpu,rsvd,32,5
KIRC,4,488,9,0.756493447932297,0.760336747545186,0.860655737704918,0.111111111111111,0.726055128923834,19,20760830,cpu,rsvd,32,5
KIRC,5,488,9,0.740889371752681,0.754243473095197,0.85655737704918,0.111111111111111,0.708500543221766,20,20760831,cpu,rsvd,32,5
KIRP,1,184,10,0.600499323023867,0.594948545195024,0.66304347826087,0.1,0.556110358915408,16,20760828,cpu,rsvd,32,5
KIRP,2,184,10,0.654054024516858,0.649886344171119,0.701086956521739,0.1,0.615615582796508,19,20760829,cpu,rsvd,32,5
