tumor_type,eligible,total_patients,analysed_patients,excluded_rare_site_patients,total_sites,analysed_sites,minimum_patients_per_site,repeated_nested_cv,macro_balanced_accuracy_mean,macro_balanced_accuracy_sd,macro_f1_mean,accuracy_mean,majority_accuracy,chance_macro_balanced_accuracy,normalized_macro_balanced_accuracy,selected_components_median,error
ACC,FALSE,56,48,8,5,1,10,5,,,,,,,,,fewer than two tissue-source sites had at least 10 patients
BLCA,TRUE,386,324,62,33,14,10,5,0.528226680960823,0.0224381964692035,0.535779239430617,0.595679012345679,0.157407407407407,0.0714285714285714,0.491936425650117,19,
BRCA,TRUE,1054,1010,44,39,19,10,5,0.565958166990836,0.011254741106325,0.567769214644159,0.685346534653465,0.140594059405941,0.0526315789473684,0.54184473182366,20,
CESC,TRUE,269,194,75,29,7,10,5,0.673734888170372,0.0254113423711861,0.669731889783581,0.767010309278351,0.319587628865979,0.142857142857143,0.619357369532101,18,
CHOL,FALSE,39,18,21,9,1,10,5,,,,,,,,,fewer than two tissue-source sites had at least 10 patients
COAD,TRUE,433,404,29,24,12,10,5,0.727446405771327,0.0195583162484935,0.722851769453948,0.837128712871287,0.386138613861386,0.0833333333333333,0.702668806295993,20,
DLBC,FALSE,44,10,34,8,1,10,5,,,,,,,,,fewer than two tissue-source sites had at least 10 patients
ESCA,TRUE,156,132,24,18,7,10,5,0.895093847255502,0.0141096239113587,0.895028015188288,0.910606060606061,0.287878787878788,0.142857142857143,0.877609488464752,18,
GBM,TRUE,384,351,33,16,8,10,5,0.818393400754663,0.0104872364534041,0.823013741207495,0.835897435897436,0.273504273504274,0.125,0.792449600862472,19,
HNSC,TRUE,450,412,38,26,13,10,5,0.560551181704252,0.00869367034633443,0.556004368562759,0.666504854368932,0.327669902912621,0.0769230769230769,0.523930446846273,20,
KICH,TRUE,108,101,7,6,5,10,5,0.762965079365079,0.0221416606606253,0.763242807625905,0.762376237623762,0.247524752475248,0.2,0.703706349206349,17,
KIRC,TRUE,513,488,25,18,9,10,5,0.744317068755918,0.00959258451482935,0.752258225248904,0.85,0.284836065573771,0.111111111111111,0.712356702350408,20,
KIRP,TRUE,273,184,89,31,10,10,5,0.626587213044085,0.0268938891712616,0.624551976284936,0.681521739130435,0.190217391304348,0.1,0.585096903382317,17,
LGG,TRUE,490,451,39,25,13,10,5,0.660943673353206,0.0161186035956578,0.663243288703983,0.725055432372506,0.228381374722838,0.0769230769230769,0.632688979465973,20,
LIHC,TRUE,364,280,84,34,7,10,5,0.772216345482475,0.0154163519639221,0.779858281142808,0.854285714285714,0.535714285714286,0.142857142857143,0.734252403062887,18,
LUAD,TRUE,468,392,76,33,15,10,5,0.634103231992892,0.016543183092514,0.643258598860833,0.716836734693878,0.232142857142857,0.0666666666666667,0.607967748563813,20,
LUSC,TRUE,477,405,72,35,16,10,5,0.671066310221744,0.0151254217057162,0.679911702884698,0.717037037037037,0.123456790123457,0.0625,0.64913739756986,20,
MESO,FALSE,75,15,60,13,1,10,5,,,,,,,,,fewer than two tissue-source sites had at least 10 patients
OV,TRUE,106,83,23,11,2,10,5,0.97021151586369,0.00635729738378807,0.97070923236598,0.971084337349398,0.55421686746988,0.5,0.94042303172738,6,
PAAD,TRUE,183,120,63,27,5,10,5,0.920458521870287,0.00485963394481319,0.922694070044725,0.931666666666667,0.325,0.2,0.900573152337858,16,
PCPG,TRUE,176,138,38,17,6,10,5,0.59214463475333,0.03922409979269,0.581268923546242,0.67536231884058,0.333333333333333,0.166666666666667,0.510573561703997,17,
PRAD,TRUE,402,345,57,27,10,10,5,0.87784572484292,0.0174614418996917,0.880898811138094,0.897391304347826,0.188405797101449,0.1,0.864273027603244,20,
READ,TRUE,156,132,24,13,5,10,5,0.869834087481146,0.0320569647659934,0.866669351966123,0.922727272727273,0.545454545454545,0.2,0.837292609351433,14,
SARC,TRUE,254,158,96,34,4,10,5,0.650878533231474,0.031439018650128,0.661733702983806,0.858227848101266,0.753164556962025,0.25,0.534504710975299,15,
SKCM,TRUE,292,245,47,23,8,10,5,0.623329447218177,0.0452610989327514,0.641409750517354,0.749387755102041,0.359183673469388,0.125,0.569519368249345,19,
STAD,TRUE,374,334,40,22,8,10,5,0.821574330774667,0.0079328640144897,0.838017179628237,0.902994011976048,0.338323353293413,0.125,0.796084949456762,19,
TGCT,TRUE,149,106,43,15,3,10,5,0.82,0.0630806362259185,0.8137457279607,0.928301886792453,0.754716981132076,0.333333333333333,0.73,11,
THCA,TRUE,505,455,50,22,11,10,5,0.626639951079283,0.0173510403576792,0.622734852725658,0.739340659340659,0.204395604395604,0.0909090909090909,0.589303946187211,20,
THYM,TRUE,121,91,30,19,5,10,5,0.804502164502165,0.0240616131288786,0.80147320447459,0.813186813186813,0.252747252747253,0.2,0.755627705627706,11,
UCEC,TRUE,505,456,49,30,12,10,5,0.701337760837584,0.00912431626129178,0.701453721783776,0.781578947368421,0.171052631578947,0.0833333333333333,0.674186648186455,19,
UCS,FALSE,53,14,39,10,1,10,5,,,,,,,,,fewer than two tissue-source sites had at least 10 patients
UVM,TRUE,80,72,8,6,3,10,5,0.953333333333333,0.0130410132739325,0.955056333644569,0.966666666666667,0.458333333333333,0.333333333333333,0.93,6,
