outcome_type,family,tumor_type,endpoint,n,positive,negative,standard_evidence,evidence_maturity
continuous,aneuploidy,UCEC,Aneuploidy score,477,,,TRUE,standard_evidence
continuous,aneuploidy,UCEC,Deleted arm count,477,,,TRUE,standard_evidence
continuous,aneuploidy,COAD,Aneuploidy score,408,,,TRUE,standard_evidence
continuous,aneuploidy,BRCA,Aneuploidy score,998,,,TRUE,standard_evidence
continuous,aneuploidy,BRCA,Deleted arm count,998,,,TRUE,standard_evidence
continuous,aneuploidy,COAD,Deleted arm count,408,,,TRUE,standard_evidence
continuous,aneuploidy,UVM,Deleted arm count,80,,,FALSE,limited_evidence
continuous,aneuploidy,THYM,Aneuploidy score,103,,,TRUE,standard_evidence
continuous,aneuploidy,STAD,Aneuploidy score,360,,,TRUE,standard_evidence
continuous,fusion,UCEC,Fusion burden,153,,,TRUE,standard_evidence
continuous,fusion,BRCA,Fusion burden,1051,,,TRUE,standard_evidence
continuous,fusion,LGG,Fusion burden,487,,,TRUE,standard_evidence
continuous,microsatellite_instability,COAD,MANTIS score,391,,,TRUE,standard_evidence
continuous,microsatellite_instability,TGCT,MSIsensor score,148,,,TRUE,standard_evidence
continuous,microsatellite_instability,COAD,MSIsensor score,411,,,TRUE,standard_evidence
continuous,microsatellite_instability,STAD,MANTIS score,371,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_GLYCOLYSIS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_HYPOXIA,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_LATE,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_EARLY,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_APICAL_JUNCTION,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_CHOLESTEROL_HOMEOSTASIS,149,,,TRUE,standard_evidence
